Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cardiac muscle tissue development (GO:0048738)	10/53	9.800372553688985E-13	7.618381195323807E-10	0	0	40.1051567239636	1108.955140444752	HCN4;CSRP3;MSX2;TBX20;SIK1;GATA4;MSX1;NKX2-5;ZFPM1;TBX2
regulation of transcription, DNA-templated (GO:0006355)	44/2244	1.300065050396554E-12	7.618381195323807E-10	0	0	4.364197530864198	119.44200628061783	EPAS1;LOXL3;GATA4;GATA2;ARNTL2;HHEX;MECOM;CREG1;TBX20;MSX1;PITX2;NKX2-5;WNT1;NKX2-3;SAMD11;MAP3K5;VENTX;IRX2;NKX2-6;MSX2;PRRX1;EN2;ARID5B;SOX14;HMGA2;SMAD6;TBX5;ISL1;TBX3;SMAD7;TBX2;ACTA2;DAP;MAF;LHX2;BAMBI;ID2;TLX1;ID1;HAND1;ID4;ID3;ZFPM2;NEUROG2
heart development (GO:0007507)	14/164	1.9784544446041454E-12	7.729162030253529E-10	0	0	16.585585585585587	446.96005584474887	POPDC2;NKX2-6;GATA4;TBX5;ISL1;TBX2;CSRP3;ID2;HAND1;GPC3;ZFPM2;NKX2-5;ZFPM1;CER1
regulation of transcription by RNA polymerase II (GO:0006357)	42/2206	1.3694384006626697E-11	4.012454513941622E-9	0	0	4.1414938868227065	103.5954742534641	EPAS1;PRDM6;GATA4;GATA2;ARNTL2;CSRP3;HHEX;MECOM;CREG1;TBX20;MSX1;PITX2;NKX2-5;NKX2-3;DACT1;VENTX;IRX2;NKX2-6;MSX2;PRRX1;NOG;EN2;ARID5B;SOX14;HMGA2;SMAD6;TBX5;ISL1;TBX3;SMAD7;TBX2;MAF;LHX2;ID2;TLX1;ID1;HAND1;ID4;ID3;ZFPM2;ZFPM1;NEUROG2
negative regulation of nucleic acid-templated transcription (GO:1903507)	19/464	8.553645841313039E-11	1.7074402338799604E-8	0	0	7.826372694509222	181.43158552232185	MSX2;LOXL3;ARID5B;SOX14;HMGA2;TBX3;TBX2;DAP;HHEX;MECOM;ID2;ID1;HAND1;TBX20;ID4;ID3;ZFPM2;NKX2-5;SAMD11
cardiac right ventricle morphogenesis (GO:0003215)	6/13	8.741161606893995E-11	1.7074402338799604E-8	0	0	143.10684273709484	3314.410709497133	HAND1;TBX20;GATA4;NKX2-5;ZFPM2;ISL1
negative regulation of transcription, DNA-templated (GO:0045892)	26/948	1.4909250386144101E-10	2.4962344932229836E-8	0	0	5.398650277175223	122.15231308356623	PRDM6;LOXL3;HHEX;MECOM;TBX20;NKX2-5;SAMD11;DACT1;IRX2;MSX2;NOG;ARID5B;SOX14;HMGA2;ISL1;TBX3;SMAD7;TBX2;DAP;ID2;ID1;HAND1;ID4;ID3;ZFPM2;ZFPM1
negative regulation of transcription by RNA polymerase II (GO:0000122)	22/684	2.4787806308312343E-10	3.6314136241677585E-8	0	0	6.199014460446426	137.11032361832716	IRX2;MSX2;PRDM6;NOG;ARID5B;SOX14;HMGA2;ISL1;TBX3;SMAD7;TBX2;HHEX;ID2;ID1;HAND1;TBX20;ID4;ID3;ZFPM2;NKX2-5;ZFPM1;DACT1
embryonic heart tube development (GO:0035050)	6/18	9.218174059298103E-10	1.0891786492173076E-7	0	0	83.45798319327731	1736.3161291340894	NKX2-6;HAND1;TBX20;NKX2-5;PITX2;TBX2
cardiac muscle tissue morphogenesis (GO:0055008)	7/32	9.293333184448017E-10	1.0891786492173076E-7	0	0	47.101694915254235	979.5529252515228	TBX20;NOG;HAND1;NKX2-5;ISL1;ZFPM1;SMAD7
cardiac atrium morphogenesis (GO:0003209)	6/19	1.3404134909159083E-9	1.3171439666920764E-7	0	0	77.03425985778927	1573.832091287038	NOG;TBX20;GATA4;NKX2-5;ISL1;ZFPM1
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	19/547	1.348611569991887E-9	1.3171439666920764E-7	0	0	6.567913807890223	134.14432109492287	MSX2;LOXL3;ARID5B;SOX14;HMGA2;TBX3;TBX2;DAP;HHEX;MECOM;ID2;ID1;HAND1;TBX20;ID4;ID3;ZFPM2;NKX2-5;SAMD11
ventricular septum development (GO:0003281)	7/38	3.3781391104751024E-9	3.045522336520631E-7	0	0	37.97375615090213	740.7138408797732	NOG;GATA4;NKX2-5;TBX5;ZFPM2;ZFPM1;SMAD7
atrial septum morphogenesis (GO:0060413)	5/11	3.944135379204012E-9	3.3018047603050726E-7	0	0	137.97916666666666	2670.0398318256957	TBX20;GATA4;NKX2-5;ISL1;ZFPM1
outflow tract septum morphogenesis (GO:0003148)	6/25	8.485474772075303E-9	6.629984288581504E-7	0	0	52.69172932330827	979.271046456359	TBX20;NKX2-5;SMAD6;ZFPM2;ISL1;TBX2
determination of heart left/right asymmetry (GO:0061371)	7/47	1.6069544465155996E-8	1.1607426664685483E-6	0	0	29.416313559322035	527.9151648148354	TBX20;HAND1;GATA4;NKX2-5;CER1;TBX3;TBX2
atrial septum development (GO:0003283)	5/14	1.6836711032393618E-8	1.1607426664685483E-6	0	0	91.97222222222223	1646.2755681703522	TBX20;GATA4;NKX2-5;ISL1;ZFPM1
regulation of BMP signaling pathway (GO:0030510)	8/76	2.453727423875642E-8	1.5976491893234736E-6	0	0	19.916540975364505	348.998991023328	BMPER;BAMBI;NOG;TBX20;WNT1;SMAD6;CER1;SMAD7
negative regulation of cell differentiation (GO:0045596)	11/191	3.2501500880599925E-8	1.95207332064579E-6	0	0	10.557748538011696	182.03648457368692	BAMBI;ID2;NOG;ZFPM2;GATA2;WNT1;SMAD6;TBX5;ZFPM1;TBX3;SMAD7
negative regulation of BMP signaling pathway (GO:0030514)	7/52	3.331183141033771E-8	1.95207332064579E-6	0	0	26.141242937853107	450.0830128906368	BMPER;BAMBI;NOG;WNT1;SMAD6;CER1;SMAD7
negative regulation of cellular response to growth factor stimulus (GO:0090288)	8/80	3.694430150667483E-8	2.034125992592875E-6	0	0	18.806267806267805	321.84772947992553	HHEX;BMPER;BAMBI;NOG;WNT1;SMAD6;CER1;SMAD7
heart morphogenesis (GO:0003007)	7/53	3.818325242068537E-8	2.034125992592875E-6	0	0	25.571665438467207	436.78626326675237	NOG;TBX20;NKX2-5;ISL1;ZFPM1;TBX3;TBX2
ventricular cardiac muscle tissue morphogenesis (GO:0055010)	6/34	6.15462698211203E-8	3.136183836102304E-6	0	0	35.73889555822329	593.3899157604197	NOG;HAND1;NKX2-5;ZFPM2;ISL1;SMAD7
positive regulation of transcription, DNA-templated (GO:0045893)	25/1183	6.673852514661877E-8	3.259064644659883E-6	0	0	4.04080310880829	66.76410253993677	EPAS1;GATA4;GATA2;ARNTL2;CSRP3;HHEX;MECOM;PITX2;NKX2-5;WNT1;MAP3K5;VENTX;NKX2-6;HMGA2;TBX5;ISL1;TBX3;SMAD7;ACTA2;LHX2;BAMBI;ID2;HAND1;ZFPM2;ZFPM1
regulation of cardiac muscle cell proliferation (GO:0060043)	5/21	1.65245005712231E-7	7.4487364113359515E-6	0	0	51.716145833333336	807.5908819475055	NOG;TBX20;TBX5;ZFPM2;TBX2
endocardial cushion development (GO:0003197)	5/21	1.65245005712231E-7	7.4487364113359515E-6	0	0	51.716145833333336	807.5908819475055	NOG;TBX20;GATA4;ISL1;TBX2
heart looping (GO:0001947)	6/43	2.6646970177295574E-7	1.1566758906589041E-5	0	0	27.033386327503976	409.2315452110378	TBX20;HAND1;GATA4;NKX2-5;TBX3;TBX2
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)	8/108	3.8781870739678804E-7	1.623298303817984E-5	0	0	13.521367521367521	199.61226895208185	BMPER;WFIKKN1;BAMBI;NOG;WNT1;SMAD6;CER1;SMAD7
cardiac conduction system development (GO:0003161)	5/25	4.2289900703912456E-7	1.65212545416618E-5	0	0	41.364583333333336	607.0721033440738	HCN4;MSX2;GATA4;MSX1;NKX2-5
ventricular cardiac muscle tissue development (GO:0003229)	5/25	4.2289900703912456E-7	1.65212545416618E-5	0	0	41.364583333333336	607.0721033440738	ID2;HAND1;TBX5;ISL1;SMAD7
embryonic heart tube morphogenesis (GO:0003143)	6/47	4.598513510977207E-7	1.738534785440415E-5	0	0	24.3910637425702	355.92324509893837	TBX20;HAND1;GATA4;NKX2-5;TBX3;TBX2
ventricular septum morphogenesis (GO:0060412)	5/28	7.70632330414626E-7	2.8224409101435677E-5	0	0	35.96376811594203	506.22795825504835	NOG;NKX2-5;ZFPM2;ZFPM1;SMAD7
blood vessel morphogenesis (GO:0048514)	6/56	1.328149753683714E-6	4.716943973688827E-5	0	0	19.991596638655462	270.5207629745316	TBX20;ID1;ITGB8;HAS2;NKX2-5;SMAD7
regulation of cardioblast differentiation (GO:0051890)	3/5	2.3615334141752884E-6	7.90776331832411E-5	0	0	244.34016393442624	3165.719884912272	GATA4;NKX2-5;TBX5
positive regulation of cardioblast differentiation (GO:0051891)	3/5	2.3615334141752884E-6	7.90776331832411E-5	0	0	244.34016393442624	3165.719884912272	GATA4;NKX2-5;TBX5
pharyngeal system development (GO:0060037)	4/17	3.249222103682033E-6	1.002128501451406E-4	0	0	50.50731087094724	638.2656827910328	NKX2-6;NOG;NKX2-5;ISL1
positive regulation of stem cell differentiation (GO:2000738)	4/17	3.249222103682033E-6	1.002128501451406E-4	0	0	50.50731087094724	638.2656827910328	GATA4;TBX5;NKX2-5;RBM24
mesenchyme morphogenesis (GO:0072132)	4/17	3.249222103682033E-6	1.002128501451406E-4	0	0	50.50731087094724	638.2656827910328	NOG;TBX20;ISL1;TBX2
embryonic digit morphogenesis (GO:0042733)	4/18	4.157402560871631E-6	1.2493527695747568E-4	0	0	46.89728453364817	581.0864346478155	NOG;MSX1;TBX3;TBX2
endocardial cushion morphogenesis (GO:0003203)	4/19	5.240622533532251E-6	1.5355024023249494E-4	0	0	43.768595041322314	532.1854224017945	NOG;TBX20;ISL1;TBX2
cardiac ventricle morphogenesis (GO:0003208)	5/44	7.861366694518356E-6	2.2472004307257348E-4	0	0	21.192307692307693	249.08484991914432	TBX20;HAND1;GATA4;ISL1;SMAD7
cardiac pacemaker cell development (GO:0060926)	3/7	8.190069028360198E-6	2.2744335035883694E-4	0	0	122.1577868852459	1430.7838570904175	TBX5;ISL1;TBX3
positive regulation of angiogenesis (GO:0045766)	7/116	8.34476456094709E-6	2.2744335035883694E-4	0	0	10.757424972788058	125.79599601787	BMPER;HMGA2;ITGB8;GATA4;GATA2;ISL1;RHOB
