Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
nucleus (GO:0005634)	55/4484	6.387294007897754E-8	5.045962266239226E-6	0	0	2.7401541786278747	45.394408084856636	TES;CMAS;PRDM6;LOXL3;PRSS23;KLHL31;CSRP3;HHEX;CSRP2;MECOM;PITX2;MAP3K7;SAMD11;DACT1;PRKCI;NKX2-6;MSX2;EN2;ARID5B;PAWR;ISL1;RHOB;MAF;CCNY;HAND1;SIK1;SNRPA1;ZFPM2;ZFPM1;RBM24;GATA4;NREP;GATA2;ARNTL2;PCNP;TBX20;MSX1;NKX2-5;NKX2-3;IRX2;PRRX1;HMGA2;SMAD6;TBX5;TBX3;SMAD7;TBX2;LHX2;ID2;TLX1;ID1;MAB21L2;ID4;ID3;NEUROG2
intracellular membrane-bounded organelle (GO:0043231)	58/5192	6.362715046626755E-7	2.513272443417568E-5	0	0	2.485560123031124	35.46307820340862	TES;CMAS;PRDM6;LOXL3;PRSS23;KLHL31;CSRP3;HHEX;CSRP2;MECOM;PITX2;MAP3K7;SAMD11;DACT1;PRKCI;NKX2-6;MSX2;EN2;ARID5B;PAWR;ISL1;RHOB;MAF;CCNY;HAND1;SIK1;SNRPA1;ZFPM2;ZFPM1;RBM24;ERGIC1;GATA4;NREP;GATA2;ARNTL2;PCNP;TBX20;MSX1;NKX2-5;NKX2-3;IRX2;PRRX1;HMGA2;SMAD6;TBX5;TBX3;SMAD7;TBX2;DAB1;LHX2;ID2;TLX1;ID1;CYP1A2;MAB21L2;ID4;ID3;NEUROG2
anchored component of plasma membrane (GO:0046658)	2/46	0.033537783672173915	0.5174569976454129	0	0	7.3285291943828526	24.88096198741252	NTNG1;GPC3
membrane attack complex (GO:0005579)	1/6	0.036923260264756785	0.5174569976454129	0	0	32.04838709677419	105.72485899562611	C7
protein kinase complex (GO:1902911)	1/7	0.042944279518732656	0.5174569976454129	0	0	26.705645161290324	84.06541395869567	MAP3K5
astrocyte projection (GO:0097449)	1/8	0.0489279568229514	0.5174569976454129	0	0	22.889400921658986	69.0666232697606	GRM3
transferase complex, transferring phosphorus-containing groups (GO:0061695)	1/9	0.05487452163406052	0.5174569976454129	0	0	20.027217741935484	58.13312760621578	MAP3K5
primary lysosome (GO:0005766)	1/11	0.06665722494334128	0.5174569976454129	0	0	16.02016129032258	43.385670033586294	STX7
microfibril (GO:0001527)	1/11	0.06665722494334128	0.5174569976454129	0	0	16.02016129032258	43.385670033586294	FBN2
Ada2/Gcn5/Ada3 transcription activator complex (GO:0005671)	1/13	0.07829419841546463	0.5174569976454129	0	0	13.348790322580646	34.003130280859715	MAP3K7
glial cell projection (GO:0097386)	1/14	0.08405859584406139	0.5174569976454129	0	0	12.321339950372208	30.510609054520092	GRM3
cation-transporting ATPase complex (GO:0090533)	1/16	0.09548031912089057	0.5174569976454129	0	0	10.67741935483871	25.079497734306166	ABCC9
focal adhesion (GO:0005925)	5/387	0.09563082351340221	0.5174569976454129	0	0	2.1261998254799304	4.990743992019799	NCKAP1;TES;CSRP2;ITGB8;RHOB
cell-substrate junction (GO:0030055)	5/394	0.10122714593948348	0.5174569976454129	0	0	2.0871893744644385	4.7804741598715275	NCKAP1;TES;CSRP2;ITGB8;RHOB
endoplasmic reticulum lumen (GO:0005788)	4/285	0.10370809734057357	0.5174569976454129	0	0	2.3051086732743156	5.223779837847242	ADAMTS5;GPC3;WNT1;PRSS23
supramolecular fiber (GO:0099512)	1/19	0.11234850597571036	0.5174569976454129	0	0	8.896505376344086	19.44909147760092	FBN2
high-density lipoprotein particle (GO:0034364)	1/19	0.11234850597571036	0.5174569976454129	0	0	8.896505376344086	19.44909147760092	LCAT
U2 snRNP (GO:0005686)	1/20	0.11790159440022063	0.5174569976454129	0	0	8.427843803056026	18.01792896923992	SNRPA1
Golgi lumen (GO:0005796)	2/100	0.1294827706147527	0.5383757304508138	0	0	3.281400365024058	6.707863079636441	GPC3;WNT1
H4 histone acetyltransferase complex (GO:1902562)	1/25	0.1451543090229181	0.5733595206405265	0	0	6.670362903225806	12.87351959604309	MAP3K7
U2-type catalytic step 2 spliceosome (GO:0071007)	1/30	0.171571572737233	0.6285154690208162	0	0	5.518909899888765	9.72848472744733	SNRPA1
intrinsic component of endoplasmic reticulum membrane (GO:0031227)	2/121	0.17502962428427796	0.6285154690208162	0	0	2.6994602719136433	4.704619463824593	TRAM1L1;ERGIC1
integral component of endoplasmic reticulum membrane (GO:0030176)	2/142	0.2226590418644753	0.6562157211271498	0	0	2.2921022067363532	3.4429979840240708	TRAM1L1;ERGIC1
azurophil granule (GO:0042582)	2/155	0.2526530108588384	0.6562157211271498	0	0	2.0959668420213613	2.8835017138030374	CREG1;STX7
vacuolar lumen (GO:0005775)	2/161	0.2665437301885456	0.6562157211271498	0	0	2.016260162601626	2.6659333788806707	CREG1;GPC3
intermediate filament (GO:0005882)	1/50	0.2693829605231016	0.6562157211271498	0	0	3.263001974983542	4.279822783786303	PRPH
U2-type precatalytic spliceosome (GO:0071005)	1/50	0.2693829605231016	0.6562157211271498	0	0	3.263001974983542	4.279822783786303	SNRPA1
