Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DNA-binding transcription factor binding (GO:0140297)	13/208	6.298465867548607E-10	1.1337238561587493E-7	0	0	11.714285714285714	248.1735252601912	PRRX1;GATA4;ISL1;TBX3;HHEX;ID2;HAND1;TBX20;SIK1;PITX2;ZFPM2;ZFPM1;DACT1
sequence-specific double-stranded DNA binding (GO:1990837)	21/712	3.128594134780113E-9	2.8157347213021013E-7	0	0	5.605922297673383	109.77899418506385	MSX2;EN2;ARID5B;SOX14;HMGA2;GATA4;GATA2;SMAD6;ISL1;TBX3;TBX2;HHEX;MAF;HAND1;TBX20;MSX1;PITX2;NKX2-5;NKX2-3;NEUROG2;VENTX
sequence-specific DNA binding (GO:0043565)	20/707	1.5612623184552188E-8	9.367573910731313E-7	0	0	5.320024953212726	95.62843843850261	IRX2;MSX2;EPAS1;EN2;SOX14;GATA4;GATA2;TBX5;ISL1;TBX3;TBX2;HHEX;MAF;TBX20;MSX1;PITX2;NKX2-5;NKX2-3;NEUROG2;VENTX
RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977)	26/1359	2.465380808591617E-7	1.1094213638662278E-5	0	0	3.653125402562762	55.5850405394752	EPAS1;GATA4;GATA2;ARNTL2;HHEX;MECOM;TBX20;MSX1;PITX2;NKX2-5;NKX2-3;VENTX;IRX2;NKX2-6;MSX2;PRRX1;EN2;SOX14;TBX5;TBX3;TBX2;MAF;LHX2;TLX1;HAND1;NEUROG2
RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629)	10/190	3.25481477671841E-7	1.1717333196186275E-5	0	0	9.514492753623188	142.12711484892094	PRRX1;ID2;TBX20;GATA4;PITX2;ZFPM2;ISL1;ZFPM1;TBX3;DACT1
RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978)	23/1149	6.325652699744181E-7	1.6265964085056468E-5	0	0	3.754632048201163	53.591674563730315	IRX2;NKX2-6;PRRX1;EN2;SOX14;HMGA2;GATA4;GATA2;TBX5;ARNTL2;TBX3;TBX2;HHEX;MAF;MECOM;TLX1;HAND1;TBX20;PITX2;NKX2-5;NKX2-3;NEUROG2;VENTX
cis-regulatory region sequence-specific DNA binding (GO:0000987)	23/1149	6.325652699744181E-7	1.6265964085056468E-5	0	0	3.754632048201163	53.591674563730315	IRX2;NKX2-6;PRRX1;EN2;SOX14;GATA4;GATA2;TBX5;ISL1;ARNTL2;TBX3;TBX2;HHEX;MAF;MECOM;TLX1;HAND1;TBX20;PITX2;NKX2-5;NKX2-3;NEUROG2;VENTX
transcription cis-regulatory region binding (GO:0000976)	15/549	1.7634316617064897E-6	3.967721238839602E-5	0	0	4.938968335035751	65.43268151313431	NKX2-6;MSX2;EPAS1;ARID5B;HMGA2;GATA4;SMAD6;ISL1;HHEX;LHX2;HAND1;TBX20;MSX1;PITX2;NKX2-5
double-stranded DNA binding (GO:0003690)	16/651	3.060795887206463E-6	6.121591774412926E-5	0	0	4.447590840135809	56.47032963303663	MSX2;EN2;SOX14;GATA4;GATA2;ISL1;TBX3;TBX2;MAF;TBX20;MSX1;PITX2;NKX2-5;NKX2-3;NEUROG2;VENTX
transcription regulatory region nucleic acid binding (GO:0001067)	9/212	7.534739968947959E-6	1.3562531944106326E-4	0	0	7.518600305758451	88.68930572253666	HHEX;MSX2;HAND1;ARID5B;HMGA2;GATA4;PITX2;NKX2-5;SMAD6
transforming growth factor beta receptor binding (GO:0005160)	3/18	1.8157922514751762E-4	0.0029712964115048337	0	0	32.557377049180324	280.4433366500785	BAMBI;SMAD6;SMAD7
DNA-binding transcription activator activity, RNA polymerase II-specific (GO:0001228)	9/333	2.485405346028884E-4	0.003728108019043326	0	0	4.681752873563219	38.85810225168622	HHEX;NKX2-6;MECOM;PRRX1;HAND1;GATA4;NKX2-5;TBX5;VENTX
DNA binding (GO:0003677)	14/811	5.504809049010397E-4	0.007622043298629781	0	0	3.019114472063029	22.65760359577464	IRX2;MSX2;EPAS1;ARID5B;SOX14;HMGA2;GATA4;TBX5;TBX3;TBX2;HHEX;MECOM;NKX2-5;VENTX
morphogen activity (GO:0016015)	2/7	7.972385135183492E-4	0.010250209459521632	0	0	64.6178861788618	461.00704660276057	WNT1;CER1
frizzled binding (GO:0005109)	3/34	0.0012379409113318332	0.014855290935981999	0	0	15.740877842411422	105.37425038836722	BAMBI;WNT9B;WNT1
type I transforming growth factor beta receptor binding (GO:0034713)	2/9	0.0013555434918531971	0.015249864283348468	0	0	46.15098722415796	304.76048109474726	SMAD6;SMAD7
co-SMAD binding (GO:0070410)	2/10	0.0016875070037332125	0.01786772121599872	0	0	40.38008130081301	257.80674959416353	GATA4;SMAD6
MAP kinase kinase kinase activity (GO:0004709)	2/11	0.0020540861697512826	0.020540861697512826	0	0	35.89159891598916	222.09449408997813	MAP3K7;MAP3K5
C2H2 zinc finger domain binding (GO:0070742)	2/12	0.002454842331423076	0.023256401034534403	0	0	32.300813008130085	194.11796153606656	HMGA2;GATA2
I-SMAD binding (GO:0070411)	2/13	0.0028893408822938237	0.026004067940644415	0	0	29.36289726533629	171.67684045986962	SMAD6;SMAD7
DNA binding, bending (GO:0008301)	2/16	0.004391004905404196	0.03763718490346453	0	0	23.067363530778167	125.2141974429791	HHEX;HMGA2
receptor tyrosine kinase binding (GO:0030971)	3/56	0.005190224384081945	0.042465472233397736	0	0	9.19672131147541	48.383751699727654	ANGPT2;ALKAL1;MAP3K7
actinin binding (GO:0042805)	2/21	0.007529214164729349	0.058924284767447085	0	0	16.992725716730853	83.07683454115329	CSRP3;CSRP2
bHLH transcription factor binding (GO:0043425)	2/22	0.008248489601395681	0.06186367201046761	0	0	16.142276422764226	77.44620595940778	HAND1;ISL1
protein tyrosine kinase binding (GO:1990782)	3/72	0.010389636237574969	0.07480538091053977	0	0	7.058446186742694	32.23554600425477	ANGPT2;ALKAL1;MAP3K7
DNA-binding transcription repressor activity, RNA polymerase II-specific (GO:0001227)	5/256	0.022428741114094392	0.14620106040138622	0	0	3.257636122177955	12.370586688072105	IRX2;HHEX;HAND1;TBX3;TBX2
ubiquitin protein ligase binding (GO:0031625)	5/265	0.02555318772657489	0.14620106040138622	0	0	3.1434294871794872	11.526934572603915	GPR37;CXCR4;SMAD6;CCDC50;SMAD7
E-box binding (GO:0070888)	2/41	0.02711135229589519	0.14620106040138622	0	0	8.27016885553471	29.83713781512144	ARNTL2;NEUROG2
5'-deoxyribose-5-phosphate lyase activity (GO:0051575)	1/5	0.030864668306959317	0.14620106040138622	0	0	40.0625	139.34311073887577	HMGA2
apolipoprotein A-I binding (GO:0034186)	1/5	0.030864668306959317	0.14620106040138622	0	0	40.0625	139.34311073887577	LCAT
estrogen 2-hydroxylase activity (GO:0101021)	1/5	0.030864668306959317	0.14620106040138622	0	0	40.0625	139.34311073887577	CYP1A2
mannokinase activity (GO:0019158)	1/5	0.030864668306959317	0.14620106040138622	0	0	40.0625	139.34311073887577	HKDC1
fructokinase activity (GO:0008865)	1/5	0.030864668306959317	0.14620106040138622	0	0	40.0625	139.34311073887577	HKDC1
fructose transmembrane transporter activity (GO:0005353)	1/5	0.030864668306959317	0.14620106040138622	0	0	40.0625	139.34311073887577	SLC2A2
C-X-C chemokine receptor activity (GO:0016494)	1/5	0.030864668306959317	0.14620106040138622	0	0	40.0625	139.34311073887577	CXCR4
U2 snRNA binding (GO:0030620)	1/5	0.030864668306959317	0.14620106040138622	0	0	40.0625	139.34311073887577	SNRPA1
glucokinase activity (GO:0004340)	1/5	0.030864668306959317	0.14620106040138622	0	0	40.0625	139.34311073887577	HKDC1
hexokinase activity (GO:0004396)	1/5	0.030864668306959317	0.14620106040138622	0	0	40.0625	139.34311073887577	HKDC1
ubiquitin-like protein ligase binding (GO:0044389)	5/282	0.032188233302151516	0.14856107677916083	0	0	2.947954271961492	10.129625802679804	GPR37;CXCR4;SMAD6;CCDC50;SMAD7
dehydroascorbic acid transmembrane transporter activity (GO:0033300)	1/6	0.036923260264756785	0.15824254399181478	0	0	32.04838709677419	105.72485899562611	SLC2A2
ATP-activated inward rectifier potassium channel activity (GO:0015272)	1/6	0.036923260264756785	0.15824254399181478	0	0	32.04838709677419	105.72485899562611	ABCC9
myosin light chain binding (GO:0032027)	1/6	0.036923260264756785	0.15824254399181478	0	0	32.04838709677419	105.72485899562611	CXCR4
potassium channel regulator activity (GO:0015459)	2/50	0.03906172801512739	0.16351421029588212	0	0	6.716463414634147	21.77888563484535	ABCC9;ARPP19
1-alkyl-2-acetylglycerophosphocholine esterase activity (GO:0003847)	1/7	0.042944279518732656	0.16756029110415255	0	0	26.705645161290324	84.06541395869567	LCAT
telethonin binding (GO:0031433)	1/7	0.042944279518732656	0.16756029110415255	0	0	26.705645161290324	84.06541395869567	CSRP3
minor groove of adenine-thymine-rich DNA binding (GO:0003680)	1/7	0.042944279518732656	0.16756029110415255	0	0	26.705645161290324	84.06541395869567	HMGA2
receptor ligand activity (GO:0048018)	5/307	0.0437518537883065	0.16756029110415255	0	0	2.7004690949227372	8.450365397706022	C1QTNF12;WNT9B;CCK;WNT1;CER1
estrogen 16-alpha-hydroxylase activity (GO:0101020)	1/8	0.0489279568229514	0.17366914878507966	0	0	22.889400921658986	69.0666232697606	CYP1A2
pre-mRNA intronic binding (GO:0097157)	1/8	0.0489279568229514	0.17366914878507966	0	0	22.889400921658986	69.0666232697606	RBM24
type II transforming growth factor beta receptor binding (GO:0005114)	1/8	0.0489279568229514	0.17366914878507966	0	0	22.889400921658986	69.0666232697606	BAMBI
cytidylyltransferase activity (GO:0070567)	1/9	0.05487452163406052	0.17366914878507966	0	0	20.027217741935484	58.13312760621578	CMAS
intracellular cAMP-activated cation channel activity (GO:0005222)	1/9	0.05487452163406052	0.17366914878507966	0	0	20.027217741935484	58.13312760621578	HCN4
adenylate cyclase inhibiting G protein-coupled glutamate receptor activity (GO:0001640)	1/9	0.05487452163406052	0.17366914878507966	0	0	20.027217741935484	58.13312760621578	GRM3
G protein-coupled glutamate receptor activity (GO:0098988)	1/9	0.05487452163406052	0.17366914878507966	0	0	20.027217741935484	58.13312760621578	GRM3
cAMP response element binding protein binding (GO:0008140)	1/9	0.05487452163406052	0.17366914878507966	0	0	20.027217741935484	58.13312760621578	SIK1
G protein-coupled receptor binding (GO:0001664)	3/143	0.06061306341860525	0.17366914878507966	0	0	3.466334894613583	9.71698541110875	BAMBI;WNT9B;WNT1
chloride channel inhibitor activity (GO:0019869)	1/10	0.06078420207477788	0.17366914878507966	0	0	17.801075268817204	49.85058258369441	STX7
histone methyltransferase activity (H3-K9 specific) (GO:0046974)	1/10	0.06078420207477788	0.17366914878507966	0	0	17.801075268817204	49.85058258369441	MECOM
sequence-specific mRNA binding (GO:1990825)	1/10	0.06078420207477788	0.17366914878507966	0	0	17.801075268817204	49.85058258369441	RBM24
