Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TGF-beta signaling pathway	9/94	7.399638076408807E-9	9.989511403151889E-7	0	0	18.06389452332657	338.1892481443917	BAMBI;ID2;NOG;ID1;ID4;ID3;PITX2;SMAD6;SMAD7
Signaling pathways regulating pluripotency of stem cells	9/143	2.8696170151245795E-7	1.936991485209091E-5	0	0	11.430069480185281	172.1816188029838	ID2;ID1;HAND1;ID4;WNT9B;ID3;WNT1;ISL1;TBX3
Hippo signaling pathway	6/163	5.639400224834383E-4	0.02537730101175472	0	0	6.332387732162929	47.36982318768953	PRKCI;ID2;ID1;WNT9B;WNT1;SMAD7
Amino sugar and nucleotide sugar metabolism	3/48	0.003357827621350912	0.10550977439943604	0	0	10.836065573770492	61.72722553441451	CMAS;GFPT2;HKDC1
Wnt signaling pathway	5/166	0.003907769422201335	0.10550977439943604	0	0	5.101966873706004	28.28932749373332	BAMBI;WNT9B;WNT1;MAP3K7;CER1
Transcriptional misregulation in cancer	5/192	0.007178505272792209	0.13893587758305112	0	0	4.38680926916221	21.65620381889474	HHEX;MAF;ID2;TLX1;HMGA2
Lysine degradation	3/63	0.0072040825413433925	0.13893587758305112	0	0	8.120901639344263	40.061279923190725	MECOM;PRDM6;BBOX1
Maturity onset diabetes of the young	2/26	0.011417809805945029	0.19267554047532237	0	0	13.449186991869919	60.15257657748506	HHEX;SLC2A2
Neomycin, kanamycin and gentamicin biosynthesis	1/5	0.030864668306959317	0.4153866779785138	0	0	40.0625	139.34311073887577	HKDC1
Type II diabetes mellitus	2/46	0.033537783672173915	0.4153866779785138	0	0	7.3285291943828526	24.88096198741252	HKDC1;SLC2A2
Carbohydrate digestion and absorption	2/47	0.03488780969720498	0.4153866779785138	0	0	7.1653116531165315	24.04404734820301	HKDC1;SLC2A2
Caffeine metabolism	1/6	0.036923260264756785	0.4153866779785138	0	0	32.04838709677419	105.72485899562611	CYP1A2
Rap1 signaling pathway	4/210	0.04291622498454758	0.44566849022414795	0	0	3.1563828933643583	9.93788833102517	APBB1IP;PRKCI;ANGPT2;ID1
Regulation of actin cytoskeleton	4/218	0.04806608376024819	0.46349437911667896	0	0	3.037151463659535	9.218296732365808	NCKAP1;ITGB8;CXCR4;ITGA9
Insulin signaling pathway	3/137	0.054675052432495826	0.4694841012258981	0	0	3.6226449718620013	10.528666075463475	PRKCI;INPP5A;HKDC1
Human papillomavirus infection	5/331	0.05693363742586571	0.4694841012258981	0	0	2.4985940695296525	7.160643150291831	PRKCI;WNT9B;ITGB8;WNT1;ITGA9
Basal cell carcinoma	2/63	0.059120220154372356	0.4694841012258981	0	0	5.28162068505931	14.937386023206953	WNT9B;WNT1
Cell adhesion molecules	3/148	0.06578261054267538	0.49336957907006534	0	0	3.345958168456755	9.105689733337947	NTNG1;ITGB8;ITGA9
Central carbon metabolism in cancer	2/70	0.0710975888053507	0.5051670783538077	0	0	4.736250597800096	12.521234493382636	HKDC1;SLC2A2
Arrhythmogenic right ventricular cardiomyopathy	2/77	0.08378391491215137	0.538610881578116	0	0	4.2926829268292686	10.643768428024257	ITGB8;ITGA9
Leishmaniasis	2/77	0.08378391491215137	0.538610881578116	0	0	4.2926829268292686	10.643768428024257	MARCKSL1;MAP3K7
Tight junction	3/169	0.08957452111446726	0.5400375879928253	0	0	2.9195634999012445	7.0439852000826875	PRKCI;GATA4;MAP3K5
Protein processing in endoplasmic reticulum	3/171	0.09200640388025912	0.5400375879928253	0	0	2.884514051522248	6.8821537016714665	SSR1;TRAM1L1;MAP3K5
Insulin secretion	2/86	0.10100552193590072	0.5437415884909158	0	0	3.8310104529616726	8.782898292883132	SLC2A2;CCK
ECM-receptor interaction	2/88	0.10495695894588998	0.5437415884909158	0	0	3.7415390432974096	8.434195748447147	ITGB8;ITGA9
Axon guidance	3/182	0.10586062807078002	0.5437415884909158	0	0	2.70574228409195	6.076101130970245	NTNG1;UNC5B;CXCR4
Hypertrophic cardiomyopathy	2/90	0.10894996852831165	0.5437415884909158	0	0	3.6561345158906136	8.105162151372486	ITGB8;ITGA9
