Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
regulation of neuron differentiation (GO:0045664)	5/79	4.31110395651446E-5	0.01088275493069181	0	0	14.405696018599244	144.8021878049235	ALK;NBL1;DLL1;BMP7;HES5
G protein-coupled glutamate receptor signaling pathway (GO:0007216)	3/15	4.9733987846625477E-5	0.01088275493069181	0	0	52.3421052631579	518.6486040790877	GRM7;HOMER2;GRIK3
negative regulation of signal transduction (GO:0009968)	8/267	5.06849313195534E-5	0.01088275493069181	0	0	6.741484341484341	66.67248399612946	KANK1;RGS2;IGFBP5;CILP;GPC1;APOD;DLL1;DCN
central nervous system development (GO:0007417)	8/268	5.2036008828753715E-5	0.01088275493069181	0	0	6.7152136752136755	66.23601105087734	EOMES;NHLH1;NOTO;APOD;NPTX1;TBX6;DLL1;HES5
heart looping (GO:0001947)	4/43	5.776409198881003E-5	0.01088275493069181	0	0	21.67266775777414	211.50666863376287	EOMES;TBX22;TBX6;DLL1
determination of heart left/right asymmetry (GO:0061371)	4/47	8.224409860594495E-5	0.01106770584097145	0	0	19.65264720435428	184.849240909968	EOMES;TBX22;TBX6;DLL1
embryonic heart tube morphogenesis (GO:0003143)	4/47	8.224409860594495E-5	0.01106770584097145	0	0	19.65264720435428	184.849240909968	EOMES;TBX22;TBX6;DLL1
skeletal system development (GO:0001501)	6/158	1.2781870506615236E-4	0.01505065252153944	0	0	8.473970251716247	75.9682761204393	DDRGK1;DLX6;PRELP;BMP7;NKX3-2;HES5
negative regulation of lipid metabolic process (GO:0045833)	3/24	2.1426491905833048E-4	0.02015711417554935	0	0	29.89624060150376	252.57233081765744	ALK;CIDEA;APOD
negative regulation of neuron differentiation (GO:0045665)	3/24	2.1426491905833048E-4	0.02015711417554935	0	0	29.89624060150376	252.57233081765744	BMP7;DLL1;HES5
negative regulation of insulin-like growth factor receptor signaling pathway (GO:0043569)	2/5	2.3538031415185014E-4	0.02015711417554935	0	0	138.1875	1154.4609359011745	IGFBP5;CILP
nervous system development (GO:0007399)	9/447	3.485625753408882E-4	0.025824873814910013	0	0	4.493766353701709	35.77798716772796	NFASC;DLX6;NHLH1;NOTO;PRDM12;NPTX1;TBX6;NBL1;HES5
negative regulation of cell differentiation (GO:0045596)	6/191	3.5639422462190035E-4	0.025824873814910013	0	0	6.950763807285546	55.185402044853554	ABCA1;ITGB3;BMP7;DLL1;NKX3-2;HES5
astrocyte differentiation (GO:0048708)	2/7	4.911466072573523E-4	0.03304715028831613	0	0	82.90416666666667	631.6276025840689	DLL1;HES5
negative regulation of muscle hypertrophy (GO:0014741)	2/8	6.527714849626119E-4	0.040994049255652025	0	0	69.08333333333333	506.67674739740534	BMP10;RGS2
glutamate receptor signaling pathway (GO:0007215)	3/37	7.854586043344643E-4	0.046243875330191586	0	0	18.45325077399381	131.92677025881835	GRM7;HOMER2;GRIK3
