Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
collagen-containing extracellular matrix (GO:0062023)	9/380	1.042384591954418E-4	0.008756030572417112	0	0	5.323571277143463	48.8109168738691	ADAM19;POSTN;SEMA7A;CILP;GPC1;SMOC1;PRELP;PCSK6;DCN
membrane raft (GO:0045121)	5/163	0.0012477143812374503	0.04153221730639396	0	0	6.718388457873962	44.92211406112318	ABCA1;GPC1;ARID3C;DLL1;SLC6A4
Golgi lumen (GO:0005796)	4/100	0.001483293475228356	0.04153221730639396	0	0	8.779255319148936	57.18359473531712	GPC1;PRELP;PCSK6;DCN
integral component of plasma membrane (GO:0005887)	15/1454	0.004671558704317575	0.09810273279066907	0	0	2.3187538200055258	12.443041655558723	ABCA1;ALK;SLC12A3;SEMA7A;ITGB3;SLC6A14;GRIK3;TMPRSS2;TACR1;GRPR;DLL1;SLC6A4;GRM7;SLC26A4;SLC28A3
neuron projection (GO:0043005)	8/556	0.005986951934854283	0.10058079250555196	0	0	3.1393349553933496	16.067658952461873	SCGN;GRM7;HOMER2;GRIK3;CNTN2;APOD;NPTX1;SLC6A4
lysosomal lumen (GO:0043202)	3/86	0.008703665064923994	0.11130633118266865	0	0	7.540519974635384	35.77231023474443	GPC1;PRELP;DCN
cell projection membrane (GO:0031253)	3/92	0.010457853694489278	0.11130633118266865	0	0	7.030041395623892	32.05981507360173	ITGB3;SLC26A4;SLC28A3
dendrite (GO:0030425)	5/270	0.010600602969777967	0.11130633118266865	0	0	3.9839724081963888	18.114502616196248	SCGN;GRM7;HOMER2;GRIK3;APOD
brush border membrane (GO:0031526)	2/37	0.014158279629955604	0.13214394321291897	0	0	11.825595238095238	50.34694777140265	SLC26A4;SLC28A3
vesicle (GO:0031982)	4/226	0.0251474562306295	0.19938041637211928	0	0	3.7722829212190914	13.893312459113362	ABCA1;OLFML3;SLC6A14;PRELP
extracellular membrane-bounded organelle (GO:0065010)	2/56	0.030834748263557015	0.19938041637211928	0	0	7.657407407407407	26.64098592201592	OLFML3;PRELP
extracellular vesicle (GO:1903561)	2/59	0.033937449644033016	0.19938041637211928	0	0	7.253289473684211	24.53959126312248	OLFML3;PRELP
MICOS complex (GO:0061617)	1/8	0.03854068730993136	0.19938041637211928	0	0	29.30044182621502	95.40343353076332	CHCHD10
neuron to neuron synapse (GO:0098984)	1/8	0.03854068730993136	0.19938041637211928	0	0	29.30044182621502	95.40343353076332	GRM7
focal adhesion (GO:0005925)	5/387	0.041710067475872574	0.19938041637211928	0	0	2.7472836795586333	8.728155286165714	IL1RL1;NFASC;ITGB3;FHL1;SLC6A4
cell-cell junction (GO:0005911)	4/271	0.04432832087578306	0.19938041637211928	0	0	3.1293330145828353	9.751413208184708	GJC2;ITGB3;PKP3;DLL1
cell-substrate junction (GO:0030055)	5/394	0.044460896014982994	0.19938041637211928	0	0	2.6968792326616358	8.395776684973432	IL1RL1;NFASC;ITGB3;FHL1;SLC6A4
vacuolar lumen (GO:0005775)	3/161	0.044726454315352916	0.19938041637211928	0	0	3.9461692205196535	12.261498066264059	GPC1;PRELP;DCN
glutamatergic synapse (GO:0098978)	2/69	0.04509795132226507	0.19938041637211928	0	0	6.167599502487562	19.112887944326236	ITGB3;NPTX1
dendrite cytoplasm (GO:0032839)	1/11	0.052611263106800116	0.20039604152118906	0	0	20.507216494845363	60.390164935250596	GRIK3
microvillus membrane (GO:0031528)	1/11	0.052611263106800116	0.20039604152118906	0	0	20.507216494845363	60.390164935250596	ITGB3
intracellular vesicle (GO:0097708)	1/11	0.052611263106800116	0.20039604152118906	0	0	20.507216494845363	60.390164935250596	ABCA1
filopodium membrane (GO:0031527)	1/12	0.05725601186319688	0.20039604152118906	0	0	18.64198687910028	53.32023276493544	ITGB3
neuron projection cytoplasm (GO:0120111)	1/12	0.05725601186319688	0.20039604152118906	0	0	18.64198687910028	53.32023276493544	GRIK3
axon (GO:0030424)	3/204	0.07882563637005952	0.2589261606166583	0	0	3.0952081696779263	7.86342897479025	GRM7;GRIK3;CNTN2
platelet alpha granule membrane (GO:0031092)	1/17	0.08014381161944185	0.2589261606166583	0	0	12.813144329896907	32.33951284796603	ITGB3
connexin complex (GO:0005922)	1/21	0.09805732735418307	0.30506724065745844	0	0	10.248453608247422	23.798989697417564	GJC2
gap junction (GO:0005921)	1/24	0.11126545974097125	0.32089033555587365	0	0	8.910354101299866	19.565679904837808	GJC2
pigment granule (GO:0048770)	1/24	0.11126545974097125	0.32089033555587365	0	0	8.910354101299866	19.565679904837808	ITGB3
sodium channel complex (GO:0034706)	1/25	0.11562548404169874	0.32089033555587365	0	0	8.538659793814434	18.42129521976745	GRIK3
mitochondrial envelope (GO:0005740)	2/127	0.12857632367356792	0.32089033555587365	0	0	3.2961666666666667	6.761204496719207	CIDEA;CHCHD10
melanosome (GO:0042470)	1/28	0.12857892868180207	0.32089033555587365	0	0	7.588774341351661	15.566187515435866	ITGB3
secretory vesicle (GO:0099503)	1/29	0.13285487170278507	0.32089033555587365	0	0	7.317378497790869	14.770113400183961	SYT6
adherens junction (GO:0005912)	2/132	0.13683938683350863	0.32089033555587365	0	0	3.1685897435897434	6.302158331494316	PKP3;DLL1
exocytic vesicle (GO:0070382)	1/30	0.13711004640271124	0.32089033555587365	0	0	7.064699608958407	14.037356193959155	SYT6
asymmetric synapse (GO:0032279)	2/133	0.1385061254694135	0.32089033555587365	0	0	3.1442430025445294	6.2156676233819015	GRM7;HOMER2
catenin complex (GO:0016342)	1/31	0.14134455256627768	0.32089033555587365	0	0	6.828865979381443	13.361050061201011	CDH23
ionotropic glutamate receptor complex (GO:0008328)	1/32	0.1455584895854472	0.3217608717151991	0	0	6.608247422680412	12.73526431256762	GRIK3
cornified envelope (GO:0001533)	1/43	0.19058217975639732	0.41048469485993266	0	0	4.87481590574374	8.080844796889387	PKP3
anchored component of plasma membrane (GO:0046658)	1/46	0.2024483751456497	0.42514158780586436	0	0	4.54914089347079	7.266207923932136	NTNG2
