Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
adenylate cyclase inhibiting G protein-coupled glutamate receptor activity (GO:0001640)	2/9	8.365989320929864E-4	0.04935933699348619	0	0	59.211309523809526	419.5811550666976	GRM7;GRIK3
sodium:chloride symporter activity (GO:0015378)	2/9	8.365989320929864E-4	0.04935933699348619	0	0	59.211309523809526	419.5811550666976	SLC12A3;SLC6A4
G protein-coupled glutamate receptor activity (GO:0098988)	2/9	8.365989320929864E-4	0.04935933699348619	0	0	59.211309523809526	419.5811550666976	GRM7;GRIK3
insulin-like growth factor I binding (GO:0031994)	2/13	0.0017896179273712027	0.05044485771494429	0	0	37.672348484848484	238.3059763541143	IGFBP5;ITGB3
calcium-dependent phospholipid binding (GO:0005544)	3/50	0.0018922236540246308	0.05044485771494429	0	0	13.340425531914894	83.64450283646559	CPNE4;DOC2B;SYT6
insulin-like growth factor binding (GO:0005520)	2/15	0.002393774515486871	0.05044485771494429	0	0	31.873397435897434	192.35225186499846	IGFBP5;ITGB3
sequence-specific DNA binding (GO:0043565)	10/707	0.0024378409392113902	0.05044485771494429	0	0	3.131113864614582	18.83879272630941	EOMES;DLX6;NHLH1;NOTO;TBX6;MEOX1;NKX3-2;HES5;RAG1;SPDEF
RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629)	5/190	0.00244269799403502	0.05044485771494429	0	0	5.730020342923568	34.46407897622992	EOMES;AR;DDRGK1;TBX6;DLL1
sequence-specific double-stranded DNA binding (GO:1990837)	10/712	0.0025649927651666586	0.05044485771494429	0	0	3.108003108003108	18.541723763671097	EOMES;AR;DLX6;NHLH1;NOTO;TBX6;MEOX1;NKX3-2;HES5;SPDEF
glutamate receptor activity (GO:0008066)	2/19	0.0038490389794238887	0.06394984644000437	0	0	24.368872549019606	135.48926886898604	GRM7;GRIK3
receptor ligand activity (GO:0048018)	6/307	0.004026576566720204	0.06394984644000437	0	0	4.246930521450238	23.421137013383635	POMC;SEMA7A;BMP10;TAFA3;NBL1;BMP7
double-stranded DNA binding (GO:0003690)	9/651	0.004657044634043734	0.06394984644000437	0	0	3.033707865168539	16.28911283481923	EOMES;DLX6;NHLH1;NOTO;TBX6;MEOX1;NKX3-2;HES5;SPDEF
fibroblast growth factor binding (GO:0017134)	2/21	0.004696881376949473	0.06394984644000437	0	0	21.801535087719298	116.87490168066948	ITGB3;GPC1
neuropeptide receptor activity (GO:0008188)	2/30	0.009454923277187449	0.1195372442901556	0	0	14.787202380952381	68.92639891921714	TACR1;GRPR
cell-cell adhesion mediator activity (GO:0098632)	2/42	0.018016673506611187	0.14514258837995428	0	0	10.344791666666667	41.54941756434022	CNTN2;PKP3
DNA-binding transcription factor binding (GO:0140297)	4/208	0.01922756266766356	0.14514258837995428	0	0	4.108886107634543	16.235895601217905	EOMES;AR;DDRGK1;TBX6
RNA polymerase II general transcription initiation factor binding (GO:0001091)	1/5	0.024263309113639643	0.14514258837995428	0	0	51.28350515463917	190.71258524794393	AR
kainate selective glutamate receptor activity (GO:0015277)	1/5	0.024263309113639643	0.14514258837995428	0	0	51.28350515463917	190.71258524794393	GRIK3
phosphatidylcholine floppase activity (GO:0090554)	1/5	0.024263309113639643	0.14514258837995428	0	0	51.28350515463917	190.71258524794393	ABCA1
anion:sodium symporter activity (GO:0015373)	1/5	0.024263309113639643	0.14514258837995428	0	0	51.28350515463917	190.71258524794393	SLC12A3
apolipoprotein A-I binding (GO:0034186)	1/5	0.024263309113639643	0.14514258837995428	0	0	51.28350515463917	190.71258524794393	ABCA1
melanocortin receptor binding (GO:0031779)	1/5	0.024263309113639643	0.14514258837995428	0	0	51.28350515463917	190.71258524794393	POMC
procollagen-proline 4-dioxygenase activity (GO:0004656)	1/5	0.024263309113639643	0.14514258837995428	0	0	51.28350515463917	190.71258524794393	P4HA2
C-X3-C chemokine binding (GO:0019960)	1/5	0.024263309113639643	0.14514258837995428	0	0	51.28350515463917	190.71258524794393	ITGB3
protein-arginine deiminase activity (GO:0004668)	1/5	0.024263309113639643	0.14514258837995428	0	0	51.28350515463917	190.71258524794393	PADI3
uridine transmembrane transporter activity (GO:0015213)	1/5	0.024263309113639643	0.14514258837995428	0	0	51.28350515463917	190.71258524794393	SLC28A3
nerve growth factor binding (GO:0048406)	1/5	0.024263309113639643	0.14514258837995428	0	0	51.28350515463917	190.71258524794393	PCSK6
neuregulin binding (GO:0038132)	1/5	0.024263309113639643	0.14514258837995428	0	0	51.28350515463917	190.71258524794393	ITGB3
RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978)	11/1149	0.02487842796589055	0.14514258837995428	0	0	2.084762539644062	7.700600382139077	EOMES;AR;TCF15;TBX22;DLX6;NHLH1;NOTO;TBX6;MEOX1;NKX3-2;HES5
