Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TGF-beta signaling pathway	4/94	0.0011796133771718362	0.07903409627051303	0	0	9.367375886524822	63.160173960990676	NBL1;BMP7;DCN;RGMA
Axon guidance	4/182	0.012348771578769535	0.40510711842132785	0	0	4.7152761176189335	20.71986013036019	NTNG2;SEMA7A;BMP7;RGMA
Glutamatergic synapse	3/114	0.01854315120286132	0.40510711842132785	0	0	5.630440967283072	22.45225475502712	GRM7;HOMER2;GRIK3
Neuroactive ligand-receptor interaction	5/341	0.02624308453966663	0.40510711842132785	0	0	3.1307603686635943	11.397072182651566	POMC;GRM7;GRIK3;TACR1;GRPR
Notch signaling pathway	2/59	0.033937449644033016	0.40510711842132785	0	0	7.253289473684211	24.53959126312248	DLL1;HES5
Cell adhesion molecules	3/148	0.03627824941086518	0.40510711842132785	0	0	4.302794918330308	14.270378150241323	NTNG2;NFASC;CNTN2
Proteoglycans in cancer	3/205	0.07972401443405802	0.687118948903422	0	0	3.0797290255341325	7.789202694552925	ITGB3;GPC1;DCN
Prostate cancer	2/97	0.08204405360040859	0.687118948903422	0	0	4.343640350877193	10.86126807986038	AR;TMPRSS2
FoxO signaling pathway	2/131	0.13517724372537995	0.7095985101754043	0	0	3.193313953488372	6.3903591192759075	HOMER2;RAG1
Fluid shear stress and atherosclerosis	2/139	0.14859842878543808	0.7095985101754043	0	0	3.005626520681265	5.730250165727668	ITGB3;GPC1
Breast cancer	2/147	0.16227740956630488	0.7095985101754043	0	0	2.838649425287356	5.161936380086619	DLL1;HES5
Primary immunodeficiency	1/38	0.17041566400362537	0.7095985101754043	0	0	5.53496795764837	9.794207408116323	RAG1
Oxytocin signaling pathway	2/154	0.17442709260356992	0.7095985101754043	0	0	2.7069627192982457	4.727029404259761	RGS2;EEF2K
Various types of N-glycan biosynthesis	1/39	0.17448835947658503	0.7095985101754043	0	0	5.38903960933261	9.408709420253592	MGAT4C
Cytokine-cytokine receptor interaction	3/295	0.17623128689337683	0.7095985101754043	0	0	2.120764239365537	3.681557682605293	IL1RL1;BMP10;BMP7
Fat digestion and absorption	1/43	0.19058217975639732	0.7095985101754043	0	0	4.87481590574374	8.080844796889387	ABCA1
ABC transporters	1/45	0.1985122344186395	0.7095985101754043	0	0	4.652764761012183	7.523076495426043	ABCA1
Arginine and proline metabolism	1/50	0.21800251374840374	0.7095985101754043	0	0	4.176940879444562	6.362519703204576	P4HA2
N-Glycan biosynthesis	1/50	0.21800251374840374	0.7095985101754043	0	0	4.176940879444562	6.362519703204576	MGAT4C
Cholesterol metabolism	1/50	0.21800251374840374	0.7095985101754043	0	0	4.176940879444562	6.362519703204576	ABCA1
Pathways in cancer	4/531	0.26299214116301906	0.7095985101754043	0	0	1.5644555694618272	2.0895355581355863	ALK;AR;DLL1;HES5
Cortisol synthesis and secretion	1/65	0.2737023938699437	0.7095985101754043	0	0	3.1955541237113403	4.140523949487855	POMC
Adipocytokine signaling pathway	1/69	0.28788031134660713	0.7095985101754043	0	0	3.0069739235900546	3.744315415160726	POMC
Non-small cell lung cancer	1/72	0.2983336516633654	0.7095985101754043	0	0	2.879483084071439	3.4828579812315383	ALK
Thyroid hormone synthesis	1/75	0.3086350881376858	0.7095985101754043	0	0	2.7623293396489275	3.247382340330225	SLC26A4
Arrhythmogenic right ventricular cardiomyopathy	1/77	0.3154194017875858	0.7095985101754043	0	0	2.689365165491047	3.103129620962854	ITGB3
Synaptic vesicle cycle	1/78	0.31878680582822905	0.7095985101754043	0	0	2.65430445842817	3.0344877054794863	SLC6A4
Chemical carcinogenesis	2/239	0.32741554922453175	0.7095985101754043	0	0	1.7286392405063291	1.9300691391129021	AR;DLL1
Calcium signaling pathway	2/240	0.3292102681098971	0.7095985101754043	0	0	1.7212885154061626	1.9124524418025515	TACR1;GRPR
ECM-receptor interaction	1/88	0.35157198789072186	0.7095985101754043	0	0	2.3480270174191253	2.454488409664901	ITGB3
