Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	50/404	6.828745847488136E-11	2.50956409895189E-7	0	0	3.14202706234795	73.5463543158824	TRIM71;NRP1;NRP2;IRS1;IRS2;FGF1;FGF2;FGF3;SPRED2;SPRED1;SIPA1L1;UBASH3B;KDR;SH2D6;EPHA5;ACTR2;EPHA4;SYK;NCBP1;MMP2;TIAM1;PIK3CA;COL4A2;HNRNPH1;ELMO1;ROR2;PLCB1;EPHA1;MET;EPHA2;SHC4;SRC;NEDD9;EFNB2;POLR2B;PDGFD;ERBB2;PAK2;NGFR;ANGPT2;ANGPT1;IGF2;PTPN11;SORBS1;SETX;FGF16;MAPK11;EFNA2;FGF19;FGFR1
regulation of translation (GO:0006417)	28/178	6.181228075894697E-9	1.1358006589456506E-5	0	0	4.090913294797688	77.32541573672215	TRIM71;DDX6;NOLC1;NAT10;PLD1;GLE1;EIF4ENIF1;SYNCRIP;LARP1;TCOF1;ENC1;ERBB2;IGF2BP1;IGF2BP3;EIF5B;NCBP1;LARP4B;LARP4;CNOT7;EIF6;RPS6KB1;NCL;CAPRIN1;GEMIN5;PLXNB2;ETF1;METAP1;EIF4G1
positive regulation of phosphorylation (GO:0042327)	34/253	9.868486990857096E-9	1.2088896563799942E-5	0	0	3.4137177667565024	62.92819778776186	NRP1;PFKFB3;RALB;TFRC;FGF1;STK4;FGF2;RASGRP1;FGF3;CCND1;ERBB2;KDR;SOX9;RSPO1;EPHA5;TBX1;EPHA4;ANGPT1;SEMA4D;LMO4;WNT3A;FZD7;IGF2;BTBD10;BMP4;FGF16;RAD50;FGF19;ROR2;TNIK;EPHA1;MET;EPHA2;FGFR1
positive regulation of transcription, DNA-templated (GO:0045893)	95/1183	1.647604250034952E-8	1.5137364047196122E-5	0	0	1.9716167717086834	35.33405095263785	CSRNP1;RNF10;TCERG1;MAML2;UBP1;BRCA1;AATF;NR3C1;FGF1;ETS1;FGF2;WDR43;CX3CL1;ELK3;RPTOR;YY2;MECOM;SIX4;ZIC3;MYC;HEY2;ZIC1;SOX8;SOX9;MAP3K5;ACTR2;MED1;MYOCD;NKX2-6;PARP1;NCOA3;ETV1;EBF3;PPRC1;ISL1;ETV4;ETV5;PAX2;ADCYAP1;PPM1A;SFRP1;ELF2;TFDP1;RBL1;TFDP2;HOXB2;HOXB1;LMX1B;PLCB1;MET;ATF4;CTBP2;UHRF1;HEATR1;WNT8A;FOXK2;RLF;RAI1;PLAGL1;HSF2;PRDM16;ERBB2;NRIP1;HAS3;ZNF423;NKX2-5;PPARGC1A;LYAR;TBX1;XBP1;JAG1;AUTS2;FZD5;PCGF5;IRX6;WNT3A;CNBP;FZD7;SMARCA5;IGF2;HMGA1;HMGA2;NR1D2;RRP1B;SETX;BMP4;MLLT10;KLF7;RGCC;MAFB;LHX2;MAFF;CEBPZ;ATM;NAA15
generation of neurons (GO:0048699)	29/202	2.7448725191582694E-8	2.017481301581328E-5	0	0	3.6735040676514665	63.959181361070634	NRP1;WNT8A;FZD10;CX3CL1;SIX4;HEY2;SIX3;ERBB2;ADNP2;FZD3;FZD5;WNT5B;AUTS2;WNT3A;IRX6;FZD7;EN2;FZD8;EN1;ACSL4;VAX1;PER2;LHX2;BHLHE40;PLXNB2;LMX1B;MET;LHX9;FGFR1
rRNA processing (GO:0006364)	26/173	5.569574178859435E-8	3.411364184551404E-5	0	0	3.867900101216957	64.60693611960222	DDX47;NVL;WDR3;HEATR1;MAK16;NOLC1;NAT10;NOC4L;THUMPD1;PWP2;WDR43;PDCD11;BMS1;DHX37;UTP20;LYAR;MDN1;DCAF13;DIS3;TEX10;DDX10;RRP1B;BOP1;RSL1D1;TBL3;EIF6
positive regulation of transcription by RNA polymerase II (GO:0045944)	76/908	9.514776831775789E-8	4.995257836682289E-5	0	0	2.043269230769231	33.035239166255806	CSRNP1;RNF10;TCERG1;MAML2;UBP1;BRCA1;AATF;NR3C1;FGF1;ETS1;FGF2;CX3CL1;ELK3;YY2;ZIC3;MYC;HEY2;SOX8;SOX9;ACTR2;MED1;MYOCD;NKX2-6;PARP1;NCOA3;ETV1;PPRC1;ISL1;ETV4;ETV5;PAX2;GNL3;ADCYAP1;TFDP1;RBL1;TFDP2;HOXB2;HOXB1;LMX1B;MET;ATF4;CTBP2;UHRF1;WNT8A;FOXK2;RLF;PLAGL1;HSF2;NRIP1;NKX2-5;PPARGC1A;GCN1;TBX1;NGFR;XBP1;JAG1;AUTS2;FZD5;PCGF5;WNT3A;CNBP;SMARCA5;IGF2;HMGA1;HMGA2;NR1D2;RRP1B;SETX;BMP4;MLLT10;KLF7;RGCC;MAFF;CEBPZ;ATM;CDK12
regulation of anatomical structure morphogenesis (GO:0022603)	21/123	1.1514532346316958E-7	5.089576673847806E-5	0	0	4.487149217485159	71.69150084592697	CRB2;EGLN1;TBX1;EPHA4;SEMA4D;LARP4;ETS1;FGF2;LFNG;ARC;SFRP1;SIPA1L1;INF2;ABI2;RUFY3;ERBB2;NSMF;TNIK;PAK2;LZTS3;EPHA2
regulation of transcription by RNA polymerase II (GO:0006357)	149/2206	1.2464269405341566E-7	5.089576673847806E-5	0	0	1.659982174688057	26.390088919525574	TCERG1;RIF1;MAML2;ZBTB26;JMJD1C;UBP1;PRDM1;NR3C1;FGF1;ETS1;SOX21;FGF2;ELK3;YY2;CCND1;MYC;HOXA3;SOX8;SOX9;MED1;NKX2-6;SOX13;EBF1;ARID5A;EBF2;EBF3;ISL1;WDR77;ADCYAP1;PRKAR1A;HOXB2;HOXB1;LMX1B;EZR;CGGBP1;ATF4;CTBP2;FOXG1;MYNN;RLF;RAI1;PRDM16;ORC2;HESX1;ALX4;MSC;NKX2-5;PPARGC1A;LYAR;XBP1;JAG1;TFAP2D;AUTS2;FZD5;WNT3A;SMARCA5;IGF2;HMGA1;HMGA2;NR1D2;SETX;BMP4;MLLT10;DLG1;RGCC;MAFB;LHX2;TLX1;BHLHE40;MAFF;SP8;MAFK;ATM;CDK12;SP9;RCOR1;LHX9;BARHL1;CSRNP1;RNF10;FHL2;BRCA1;AATF;BMI1;PHF6;CX3CL1;SIX6;MECOM;SIX4;ZIC3;HEY2;ZIC1;SIX3;ZNF644;ZNF521;FEZF1;ACTR2;MYOCD;PARP1;EED;NCOA3;EN2;EN1;ETV1;BAZ1A;ETV3;PPRC1;ETV4;ETV5;PAX2;PHF20L1;MED23;PPM1A;ELF2;TFDP1;RBL1;TFDP2;PAX7;MET;UHRF1;WNT8A;ZNF518A;FOXK2;TRAK1;HSPD1;HIRA;MTA1;GBX2;PLAGL1;HSF2;ERBB2;NRIP1;BEND3;FNIP2;TBX1;SEMA4D;PCGF5;IRX6;CNBP;MGA;RRP1B;ARID3B;VAX1;KLF3;PER2;KLF7;PER3;TEF;CEBPZ
chordate embryonic development (GO:0043009)	14/58	1.8320573939697246E-7	6.732810922838738E-5	0	0	6.900455062571104	107.04438601976578	TRIM71;TBX1;MBNL1;NKX2-6;CHD7;IGF2;BRCA1;PCSK5;ISL1;SIX4;SOX8;LMX1B;NKX2-5;FGFR1
