Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RNA binding (GO:0003723)	129/1406	1.957932011644006E-15	1.286361331650112E-12	0	0	2.357527664232679	79.84212435898762	TCERG1;TFRC;MSI1;THUMPD1;PWP2;YARS2;BZW1;CCAR1;EIF4ENIF1;PNN;FBRSL1;SLC16A3;DDX18;MBNL1;AQR;SCAF11;FNDC3B;DDX10;PRPF4B;LARP4B;ARC;NCL;FSCN1;GEMIN5;EZR;KPNB1;SLBP;DDX6;NOLC1;GSPT2;ZFP36L1;LARP1;PDCD11;DHX37;GAR1;UTP20;PPARGC1A;LYAR;ZC3H14;GCN1;TRMT1L;TOE1;HSPA9;MSN;PRRC2C;PA2G4;LARP4;EIF2S2;SNUPN;SRPK1;SETX;TBL3;LIN28B;CAPRIN1;MKRN2;EIF4G1;RBM27;SMG1;RBM26;DDX46;DDX47;NVL;CELF2;WDR3;CLTC;NAT10;BRCA1;AATF;SMG7;PHF6;WDR43;SYNCRIP;SART3;XPO5;DHX15;RBPMS2;RBM33;EIF5B;NCBP1;PARP1;NSUN2;RBM19;URB1;GNL2;PPRC1;REXO4;WDR33;GNL3;HNRNPH1;ETF1;SNRPA1;LUC7L2;DDX24;NUFIP2;USP10;MAK16;HEATR1;DDX21;NOC4L;SAMHD1;AKAP1;HSPD1;TCOF1;POLR2B;BMS1;FAM120A;IGF2BP1;XIRP1;CTNNA1;IGF2BP3;ASCC3;SRSF10;SMNDC1;SRSF11;DCAF13;SF3A1;SSB;CNBP;NOC3L;RRP1B;U2SURP;LRPPRC;BOP1;RSL1D1;MYBBP1A;XPOT;CEBPZ;P4HB;NAA15
sequence-specific DNA binding (GO:0043565)	65/707	2.7675475961449434E-8	9.09139385333614E-6	0	0	2.257861528737189	39.29293008735486	BARHL1;CSRNP1;SMG1;ZBTB26;UBP1;PRDM1;SMG7;NR3C1;ELK3;SIX6;YY2;SIX4;ZIC3;HEY2;SIX3;ZIC1;SOX8;SOX9;SOX13;EN2;ARID5A;EN1;ETV1;ETV3;ISL1;ETV4;PAX2;ETV5;WDR77;ELF2;PAX7;NCL;HOXB2;HOXB1;LMX1B;ATF4;UHRF1;FOXG1;FOXK2;GBX2;HSF2;PRDM16;HESX1;ALX4;NKX2-5;ZNF423;MSC;PPARGC1A;TBX1;XBP1;NR1D2;LRWD1;VAX1;KLF3;LIN28B;MAFB;MYBBP1A;TEF;MAFF;BHLHE40;BCL2;MAFK;SP8;SP9;LHX9
sequence-specific double-stranded DNA binding (GO:1990837)	64/712	8.1822759236525E-8	1.7919184272798974E-5	0	0	2.1991690121967564	35.88760223456613	BARHL1;RNF10;ZBTB26;UBP1;BRCA1;PRDM1;NR3C1;ETS1;ELK3;SIX6;YY2;SIX4;ZIC3;HEY2;SIX3;ZIC1;SOX8;SOX9;SOX13;EN2;ARID5A;EN1;ETV1;ETV3;ISL1;ETV4;PAX2;ETV5;ELF2;PAX7;HOXB2;HOXB1;MCM6;LMX1B;ATF4;FOXG1;FOXK2;HSPD1;GBX2;HSF2;PRDM16;ORC2;HESX1;BEND3;ALX4;NKX2-5;MSC;TBX1;XBP1;HMGA2;NR1D2;VAX1;KLF3;PER2;POLA1;LIN28B;PER3;TEF;MAFF;BHLHE40;MAFK;SP8;SP9;LHX9
protein kinase binding (GO:0019901)	48/506	7.70697506054375E-7	1.2658706536943109E-4	0	0	2.3129944962662465	32.55764086231858	SHC4;USP37;TFRC;CTBP2;IRS1;FAF1;CLTC;PDE3B;NEDD9;PTN;NR3C1;DUSP16;RHOBTB1;RHOBTB2;RPTOR;CDH5;SPRED2;SPRED1;CCND1;SOX9;RAB11FIP2;PAK2;MAPK4;FAM83A;DUSP4;DUSP5;EPHA4;SLC12A4;FZD5;PARP1;DUSP1;NBEAL1;MSN;PTPN11;OXSR1;DUSP6;DUSP7;POLA1;SIKE1;DLG1;RGCC;PRKAR1A;SPRY2;ROR2;EPHA1;EZR;ATF4;TJP2
MAP kinase tyrosine/serine/threonine phosphatase activity (GO:0017017)	6/10	1.4023618743506912E-6	1.5355862524140068E-4	0	0	32.304960541149946	435.38534684027513	DUSP4;DUSP5;DUSP1;DUSP16;DUSP6;DUSP7
protein tyrosine/threonine phosphatase activity (GO:0008330)	6/10	1.4023618743506912E-6	1.5355862524140068E-4	0	0	32.304960541149946	435.38534684027513	DUSP4;DUSP5;DUSP1;DUSP16;DUSP6;DUSP7
MAP kinase phosphatase activity (GO:0033549)	6/12	5.711749879280447E-6	5.360885243838934E-4	0	0	21.534385569334837	259.9843166013422	DUSP4;DUSP5;DUSP1;DUSP16;DUSP6;DUSP7
mRNA 5'-UTR binding (GO:0048027)	8/25	8.401157300583938E-6	6.89945043310456E-4	0	0	10.150880691259555	118.6347748034232	SYNCRIP;RSL1D1;LARP1;NCL;IGF2BP1;IGF2BP3;CCT5;GNL3
double-stranded DNA binding (GO:0003690)	52/651	3.7643535105807224E-5	0.0027479780627239275	0	0	1.9104690933561486	19.462616035893767	BARHL1;ZBTB26;UBP1;PRDM1;NR3C1;ELK3;SIX6;YY2;SIX4;ZIC3;HEY2;SIX3;ZIC1;SOX8;SOX9;EN2;EN1;ETV1;ETV3;ISL1;ETV4;PAX2;REXO4;ETV5;ELF2;PAX7;HOXB2;HOXB1;LMX1B;CGGBP1;ATF4;UHRF1;FOXG1;GBX2;HSF2;HESX1;ALX4;NKX2-5;MSC;TBX1;XBP1;NR1D2;VAX1;KLF3;RAD50;LIN28B;TEF;MAFF;BHLHE40;SP8;SP9;LHX9
mRNA binding (GO:0003729)	27/263	5.218807480546187E-5	0.003428756514718845	0	0	2.493037342936548	24.58298498302695	SLBP;DDX6;CELF2;ZFP36L1;SYNCRIP;EIF4ENIF1;LARP1;XPO5;RBPMS2;IGF2BP1;IGF2BP3;CCT5;AQR;SSB;NCBP1;CNBP;LARP4B;LARP4;EIF2S2;GNL3;RSL1D1;ARC;NCL;GEMIN5;ETF1;LUC7L2;EIF4G1
transmembrane receptor protein tyrosine kinase activity (GO:0004714)	11/60	6.089919922294659E-5	0.0035437145738269594	0	0	4.850710352168078	47.082403966583016	EPHA5;NRP1;EPHA4;NRP2;ERBB2;KDR;ROR2;EPHA1;MET;EPHA2;FGFR1
nuclear export signal receptor activity (GO:0005049)	5/11	6.47253803438714E-5	0.0035437145738269594	0	0	17.92511261261261	172.89411321085848	EIF4ENIF1;XPO4;CSE1L;XPO5;XPO7
kinase binding (GO:0019900)	38/461	2.188661679897303E-4	0.00982325094616741	0	0	1.9631205673758865	16.543315412915373	SHC4;USP37;TFRC;CTBP2;SRC;FAF1;CLTC;PTN;NR3C1;MYOM2;RHOBTB1;RHOBTB2;RPTOR;EIF4ENIF1;LAPTM4B;SPRED2;SPRED1;CCND1;RAB11FIP2;PAK2;MAPK4;FAM83A;SLC12A4;FZD5;PARP1;NBEAL1;MSN;PTPN11;OXSR1;TIAM1;POLA1;SIKE1;DLG1;RGCC;ABI2;SPRY2;EPHA1;ATF4
DNA-binding transcription activator activity, RNA polymerase II-specific (GO:0001228)	30/333	2.2177440135987022E-4	0.00982325094616741	0	0	2.157337402338148	18.151513093129747	UBP1;FOXK2;NR3C1;ETS1;RLF;ELK3;YY2;MECOM;ZIC3;MYC;HSF2;PLAGL1;PRDM16;SIX3;ALX4;SOX9;NKX2-5;ZNF521;NKX2-6;IRX6;ETV1;ETV4;ETV5;KLF7;TFDP1;TFDP2;MAFF;HOXB2;HOXB1;ATF4
transcription corepressor binding (GO:0001222)	7/29	2.2749595111846318E-4	0.00982325094616741	0	0	6.8538374717832955	57.49258026587154	SUZ12;PER2;PER3;CTBP2;EED;SIX3;ZNF644
peptidyl-proline 4-dioxygenase activity (GO:0031545)	4/8	2.392268114743966E-4	0.00982325094616741	0	0	21.488188976377952	179.17063528460505	EGLN1;EGLN3;P4HA1;P4HB
DNA binding (GO:0003677)	58/811	2.8066188533747686E-4	0.01025506307618517	0	0	1.6930791802848486	13.846610821641658	CSRNP1;BRCA1;ETS1;SOX21;YY2;MECOM;EXO1;ZIC3;MYC;HEY2;SOX8;SOX9;RFC3;SOX13;ARID5A;ETV5;PAX2;REXO4;HOXB2;HOXB1;MCM6;CGGBP1;ATF4;GTF3C4;FOXG1;FOXK2;SAMHD1;RLF;HSPD1;PLAGL1;PRDM16;HESX1;PMS2;ALX4;CLSPN;ZNF423;NKX2-5;PPARGC1A;LYAR;TBX1;XBP1;ATAD5;CNBP;SMARCA5;HMGA1;HMGA2;ARID3B;SETX;POLA1;RAD50;MAFB;MYBBP1A;MAFF;BCL2;NABP1;TAF4B;MAFK;CEBPZ
snoRNA binding (GO:0030515)	7/30	2.853917735084074E-4	0.01025506307618517	0	0	6.555501030523113	53.50368976235119	TBL3;WDR3;BMS1;HEATR1;DHX37;GAR1;DDX21
transmembrane receptor protein kinase activity (GO:0019199)	10/60	2.965695562367096E-4	0.01025506307618517	0	0	4.316421291053228	35.063277640913704	EPHA5;EPHA4;ERBB2;KDR;ROR2;EPHA1;MET;TGFBR2;EPHA2;FGFR1
protein tyrosine/serine/threonine phosphatase activity (GO:0008138)	6/22	3.1407043773246324E-4	0.010317213879511417	0	0	8.071166854565952	65.10117043931322	DUSP4;DUSP5;DUSP1;DUSP16;DUSP6;DUSP7
Wnt-activated receptor activity (GO:0042813)	5/15	3.6226421933451816E-4	0.011333694862037069	0	0	10.752815315315315	85.19602591882631	FZD3;FZD5;FZD7;FZD8;FZD10
volume-sensitive anion channel activity (GO:0005225)	4/9	4.153871995609621E-4	0.012404972277797821	0	0	17.1896512935883	133.84377261455032	TTYH3;LRRC8C;LRRC8D;LRRC8B
transcription cis-regulatory region binding (GO:0000976)	42/549	5.053680243912965E-4	0.014012311219822767	0	0	1.8106091684687002	13.74292850052084	BARHL1;RNF10;UHRF1;ZNF518A;FOXK2;BRCA1;NR3C1;ETS1;ELK3;YY2;GBX2;MYC;PLAGL1;HSF2;PRDM16;HESX1;ALX4;SOX9;NKX2-5;MSC;XBP1;NKX2-6;TFAP2D;SOX13;ARID5A;HMGA1;HMGA2;ISL1;PAX2;ETV5;SETX;PER2;TFDP1;PER3;RBL1;TFDP2;LHX2;MAFK;HOXB1;LMX1B;LHX9;ATF4
nuclear receptor coactivator activity (GO:0030374)	9/53	5.118652500391878E-4	0.014012311219822767	0	0	4.41091628959276	33.42349389406329	MED1;NCOA3;HMGA1;PPRC1;ETS1;FGF2;PPARGC1A;CCAR1;WDR77
ubiquitin protein ligase binding (GO:0031625)	24/265	8.429532541250636E-4	0.022152811518406673	0	0	2.1619928472179115	15.30388052157725	HSPA9;NGFR;DET1;CCT2;USP7;GPR37;RALB;FZD5;FAF1;RNF8;FZD8;CXCR4;ERLIN2;PA2G4;BRCA1;LRPPRC;HSPD1;LAPTM4B;ABI2;PRKAR1A;CBS;BCL2;MFN2;PPARGC1A
semaphorin receptor activity (GO:0017154)	4/11	0.0010125383437992524	0.025586065072158035	0	0	12.277036798971556	84.65378909547108	NRP1;NRP2;PLXNB2;PLXNC1
cadherin binding (GO:0045296)	27/322	0.0013243418449179977	0.032225651559671276	0	0	1.9881943085293772	13.175444903038697	DDX6;SRC;ASAP1;BZW1;CDH6;CDH5;LDHA;LARP1;SLK;CALD1;KDR;CTNNA1;PAK2;S100A11;GCN1;RANBP1;PTPN11;RSL1D1;DLG1;PTPRB;MYO1B;CTTN;FSCN1;EZR;PFKP;EPHA2;TJP2
mitogen-activated protein kinase binding (GO:0051019)	6/29	0.0015310430817771998	0.03397528880651998	0	0	5.61266604578207	36.380212581031294	DUSP4;DUSP5;DUSP1;DUSP16;DUSP6;DUSP7
protein phosphatase inhibitor activity (GO:0004864)	6/29	0.0015310430817771998	0.03397528880651998	0	0	5.61266604578207	36.380212581031294	PPP1R17;SET;BOD1L1;PPP1R1B;PTN;ARPP19
coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway (GO:1904929)	3/6	0.001603095818876894	0.03397528880651998	0	0	21.46516853932584	138.1459316334439	PTK7;GPC4;ROR2
non-membrane spanning protein tyrosine phosphatase activity (GO:0004726)	3/6	0.001603095818876894	0.03397528880651998	0	0	21.46516853932584	138.1459316334439	PTPN9;PTPN11;PTPN12
ubiquitin-like protein ligase binding (GO:0044389)	24/282	0.001964023906346513	0.04032386582717685	0	0	2.0177161666711267	12.57594040685321	HSPA9;NGFR;DET1;CCT2;USP7;GPR37;RALB;FZD5;FAF1;RNF8;FZD8;CXCR4;ERLIN2;PA2G4;BRCA1;LRPPRC;HSPD1;LAPTM4B;ABI2;PRKAR1A;CBS;BCL2;MFN2;PPARGC1A
BMP receptor binding (GO:0070700)	4/13	0.002042294297934011	0.04066022284068622	0	0	9.547806524184477	59.13607213056025	BMP4;BMP3;CDH5;SRC
signal sequence binding (GO:0005048)	7/42	0.002374648580299077	0.04588659168401452	0	0	4.305191873589165	26.015869023245504	TOMM70;SEC61A1;NUP153;KPNA3;KPNB1;NUP58;KPNA1
vascular endothelial growth factor-activated receptor activity (GO:0005021)	3/7	0.002712421390192954	0.04980464010207306	0	0	16.09803370786517	95.13798739535002	NRP1;NRP2;KDR
protein kinase inhibitor activity (GO:0004860)	7/43	0.002729021375456058	0.04980464010207306	0	0	4.18538374717833	24.709719647442633	RPTOR;SPRED2;SPRED1;GMFB;SPRY4;PPP1R1B;SPRY2
fibroblast growth factor receptor binding (GO:0005104)	5/23	0.0030159874913032046	0.052144836362794884	0	0	5.971283783783784	34.6563038786966	FGF16;FGF19;FGF1;FGF2;FGF3
phosphatase inhibitor activity (GO:0019212)	5/23	0.0030159874913032046	0.052144836362794884	0	0	5.971283783783784	34.6563038786966	SET;BOD1L1;PPP1R1B;PTN;ARPP19
protein tyrosine kinase activity (GO:0004713)	12/108	0.003178382591074403	0.05354352211117648	0	0	2.697360953461975	15.51355547604872	EPHA5;EPHA4;TEC;SYK;SRC;ERBB2;KDR;ROR2;EPHA1;MET;EPHA2;FGFR1
histone-lysine N-methyltransferase activity (GO:0018024)	7/45	0.003558040403156254	0.05743352764851932	0	0	3.9646845669478434	22.355053666626656	SETD2;MECOM;EED;WDR82;SETD7;PRDM16;SETDB2
frizzled binding (GO:0005109)	6/34	0.0035861427949658835	0.05743352764851932	0	0	4.609196327911097	25.952900750577808	SFRP1;WNT5B;WNT3A;FZD7;CCDC88C;WNT8A
nuclear localization sequence binding (GO:0008139)	5/24	0.003671549712690733	0.05743352764851932	0	0	5.656709340919868	31.717969365198112	NUP153;KPNA3;KPNB1;NUP58;KPNA1
coreceptor activity involved in Wnt signaling pathway (GO:0071936)	3/8	0.004196345107262523	0.0641162496621274	0	0	12.877752808988763	70.48691243203056	PTK7;GPC4;ROR2
mRNA 3'-UTR binding (GO:0003730)	10/85	0.0045277498346342785	0.06671976958072347	0	0	2.8738391845979616	15.511633754733877	RSL1D1;LARP1;CELF2;IGF2BP1;GEMIN5;IGF2BP3;LARP4B;LARP4;CCT5;ZFP36L1
transmembrane receptor protein serine/threonine kinase binding (GO:0070696)	4/16	0.004671399392257655	0.06671976958072347	0	0	7.159730033745782	38.4212349116585	BMP4;BMP3;CDH5;SRC
