Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Breast cancer	25/147	7.927116588108856E-9	2.187884178318044E-6	0	0	4.4819917655057795	83.60248696526534	SHC4;WNT8A;FZD10;BRCA1;FGF1;FGF2;FGF3;CCND1;MYC;HEY2;ERBB2;JAG2;FZD3;JAG1;WNT5B;FZD5;WNT3A;FZD7;NCOA3;FZD8;FGF16;PIK3CA;RPS6KB1;FGF19;FGFR1
Gastric cancer	24/149	4.66141988670896E-8	6.432759443658365E-6	0	0	4.19395166858458	70.79961064720116	SHC4;FZD3;WNT5B;FZD5;WNT3A;FZD7;WNT8A;FZD8;FZD10;FGF1;FGF2;FGF3;TGFBR2;FGF16;CCND1;PIK3CA;RPS6KB1;CCNE1;MYC;FGF19;ERBB2;BCL2;CTNNA1;MET
Proteoglycans in cancer	28/205	1.392339180230906E-7	1.2809520458124335E-5	0	0	3.461937885764671	54.653995790114074	ITGB5;SRC;WNT8A;ITPR1;FZD10;FGF2;CCND1;MYC;ERBB2;KDR;FZD3;FZD5;WNT5B;WNT3A;FZD7;MMP2;IGF2;FZD8;MSN;PTPN11;TIAM1;MAPK11;CTTN;PIK3CA;RPS6KB1;EZR;MET;FGFR1
MAPK signaling pathway	34/294	3.9673846887753835E-7	2.7374954352550148E-5	0	0	2.8691591295782217	42.2913726949081	CACNA1C;FGF1;STK4;FGF2;RASGRP1;DUSP16;FGF3;RAP1B;MECOM;MYC;PDGFD;ERBB2;KDR;PAK2;MAP3K5;DUSP4;NGFR;DUSP5;ANGPT2;ANGPT1;DUSP1;IGF2;DUSP6;DUSP7;TGFBR2;FGF16;PPM1A;MAPK11;EFNA2;FGF19;MET;ATF4;EPHA2;FGFR1
Pathways in cancer	49/531	1.316934824772695E-6	6.0263795479101896E-5	0	0	2.243380169514857	30.375824301435884	SLC2A1;FZD10;FGF1;FGF2;ETS1;FGF3;MECOM;CCND1;MYC;HEY2;WNT5B;NCOA3;MMP2;TGFBR2;EML4;PIK3CA;COL4A2;CCNE1;COL4A1;PLCB1;MET;RALB;CTBP2;LAMA4;WNT8A;CXCR4;PLD1;STK4;RASGRP1;ERBB2;CTNNA1;JAG2;EGLN1;FZD3;EGLN3;JAG1;FZD5;TXNRD3;WNT3A;FZD7;IGF2;FZD8;BMP4;FGF16;RPS6KB1;FGF19;BCL2;GNB4;FGFR1
PI3K-Akt signaling pathway	37/354	1.5043361304658318E-6	6.0263795479101896E-5	0	0	2.5620964651080516	34.35043433876037	CHRM2;PHLPP1;ITGB5;IRS1;LAMA4;BRCA1;FGF1;FGF2;FGF3;PIK3R5;RPTOR;CCND1;MYC;PDGFD;ERBB2;KDR;NGFR;ANGPT2;SYK;ITGA4;ANGPT1;IGF2;FGF16;EFNA2;COL4A2;PIK3CA;RPS6KB1;CCNE1;COL4A1;FGF19;BCL2;GNB4;MET;ATF4;EPHA2;FGFR1;ITGA9
Signaling pathways regulating pluripotency of stem cells	21/143	1.5284295954844683E-6	6.0263795479101896E-5	0	0	3.747603023010979	50.1851630265027	FZD3;RIF1;WNT5B;FZD5;WNT3A;PCGF5;FZD7;WNT8A;FZD8;FZD10;BMI1;FGF2;ISL1;BMP4;MAPK11;PIK3CA;ZIC3;MYC;HESX1;HOXB1;FGFR1
Ras signaling pathway	28/232	1.784423525224933E-6	6.156261162026018E-5	0	0	2.9994559673580414	39.70204440794575	SHC4;RALB;FGF1;PLD1;STK4;ETS1;FGF2;RASGRP1;FGF3;RAP1B;PDGFD;KDR;PAK2;NGFR;ANGPT2;ANGPT1;IGF2;PTPN11;TIAM1;FGF16;EFNA2;PIK3CA;RASA3;FGF19;GNB4;MET;EPHA2;FGFR1
Axon guidance	24/182	2.030653264418099E-6	6.227336677548838E-5	0	0	3.312231431443096	43.41392418157893	EPHA5;SEMA6B;EPHA4;NRP1;FZD3;WNT5B;SEMA4D;SEMA3D;SRC;CXCR4;PTPN11;SSH2;NTN1;MYL12B;EFNB2;EFNA2;PIK3CA;PLXNB2;PLXNC1;SRGAP3;EPHA1;MET;PAK2;EPHA2
Regulation of actin cytoskeleton	26/218	5.147741822480316E-6	1.4207767430045673E-4	0	0	2.95433246828143	35.97476590066437	CHRM2;ITGB5;SRC;CXCR4;FGF1;FGF2;FGF3;MYLK3;MYLK;MYL12B;PDGFD;PAK2;ACTR2;ITGA4;MSN;SSH2;TIAM1;FGF16;DIAPH2;ABI2;PIK3CA;FGF19;SPATA13;EZR;FGFR1;ITGA9
Ribosome biogenesis in eukaryotes	16/108	2.356260622235321E-5	5.912072106699532E-4	0	0	3.770760001983045	40.18065140096745	NVL;WDR3;HEATR1;NAT10;PWP2;SPATA5;GNL2;WDR43;GNL3;TBL3;LSG1;EIF6;TCOF1;BMS1;GAR1;MDN1
Rap1 signaling pathway	23/210	6.86127849588254E-5	0.001578094054052984	0	0	2.6747802569303585	25.643203035982804	NGFR;RALB;ANGPT2;ANGPT1;SRC;FGF1;FGF2;FGF3;RAP1B;GNAO1;TIAM1;FGF16;MAPK11;SIPA1L1;EFNA2;PIK3CA;PDGFD;FGF19;KDR;PLCB1;MET;EPHA2;FGFR1
Focal adhesion	21/201	2.694261206012384E-4	0.005720123791226292	0	0	2.532282110091743	20.81337449740766	SHC4;ITGB5;ITGA4;SRC;LAMA4;ARHGAP5;MYLK3;MYLK;MYL12B;RAP1B;CCND1;COL4A2;PIK3CA;COL4A1;PDGFD;ERBB2;KDR;BCL2;PAK2;MET;ITGA9
HIF-1 signaling pathway	14/109	3.51114047894001E-4	0.006921962658481735	0	0	3.1874498533021973	25.35424940622585	EGLN1;EGLN3;PFKFB3;ANGPT2;TFRC;ANGPT1;SLC2A1;LDHA;PIK3CA;RPS6KB1;ERBB2;BCL2;PGK2;PFKP
Calcium signaling pathway	23/240	4.924099680009002E-4	0.009060343411216563	0	0	2.3013401133534614	17.527464086226825	CHRM2;ITPR1;CXCR4;CACNA1C;ATP2B1;FGF1;FGF2;FGF3;MYLK3;MYLK;FGF16;ADRB3;PDGFD;FGF19;ITPKA;ERBB2;KDR;PLCB1;PLCD4;MET;MCU;CAMK1G;FGFR1
Leukocyte transendothelial migration	14/114	5.57500798677085E-4	0.009616888777179717	0	0	3.0272810011376565	22.680530398498046	ITGA4;MMP2;MSN;CXCR4;PTPN11;ARHGAP5;CLDN1;MYL12B;RAP1B;CDH5;MAPK11;PIK3CA;CTNNA1;EZR
MicroRNAs in cancer	27/310	7.530161806464313E-4	0.01222543916814206	0	0	2.0738213956373075	14.913728628953095	SHC4;TRIM71;IRS1;GLS2;IRS2;BRCA1;BMI1;SLC7A1;RPTOR;CCND1;MYC;ERBB2;IGF2BP1;CYP1B1;FZD3;ST14;WNT3A;HMGA2;EFNA2;PIK3CA;CCNE1;FSCN1;BCL2;SPRY2;ATM;EZR;MET
Human papillomavirus infection	28/331	9.52663531467685E-4	0.014413690915466125	0	0	2.0088593830481316	13.974125630751569	MAML2;ITGB5;LAMA4;WNT8A;UBR4;FZD10;LFNG;SLC9A3R1;CCND1;HEY2;FZD3;JAG1;FZD5;WNT5B;ITGA4;WNT3A;FZD7;FZD8;DLG1;RBL1;COL4A2;PIK3CA;RPS6KB1;CCNE1;COL4A1;ATM;ATR;ITGA9
Hippo signaling pathway	17/163	0.0010165394181772226	0.014413690915466125	0	0	2.520305560768124	17.36831061777883	CRB2;FZD3;WNT5B;FZD5;WNT3A;FZD7;WNT8A;FZD8;FZD10;FGF1;GDF5;TGFBR2;BMP4;DLG1;CCND1;MYC;CTNNA1
Central carbon metabolism in cancer	10/70	0.0010444703561931974	0.014413690915466125	0	0	3.5951302378255945	24.67785604722303	LDHA;PIK3CA;GLS2;MYC;ERBB2;SLC2A1;SLC16A3;MET;PFKP;FGFR1
