Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
regulation of cell migration (GO:0030334)	34/408	4.434991979351352E-8	1.2670772085006813E-4	0	0	3.1533366451399236	53.389631306379314	PTPRU;CITED2;SEMA3B;FAM107A;THY1;FGF8;CDH1;PDGFC;NKX2-1;MGAT3;ENPP2;CTSH;PTK2B;RFFL;CARMIL2;ANXA1;CAV1;SEMA4C;NOG;SEMA4G;F3;ELP6;SLURP1;COL1A1;DAB2;CLDN3;CXCL12;SFRP2;KIT;SNAI1;CDH13;ITGA6;SGK3;EPPK1
negative regulation of cell differentiation (GO:0045596)	20/191	8.411827423901539E-7	0.001201629547504335	0	0	3.9982134139374486	55.928836053026664	CAV1;NOG;TWIST1;GATA2;LIMD1;USH2A;BMP5;SFRP2;BAMBI;PKP2;NKX2-1;PTK2B;HES1;CNTN4;ZFPM2;WNT1;NKX3-2;HES5;RUNX1T1;FOXA2
positive regulation of angiogenesis (GO:0045766)	15/116	1.4205516927654794E-6	0.0013528387287436584	0	0	5.05055082973086	68.00296611891555	SMAD1;CHRNA7;TWIST1;VEGFC;GATA4;GATA2;KLF4;F3;SFRP2;BMPER;HYAL1;NINJ1;CTSH;ITGB8;ANGPTL4
neuron differentiation (GO:0030182)	18/174	3.5171428996060072E-6	0.0021130890051932337	0	0	3.933492171545269	49.39625019342584	IRX5;IRX3;PBX3;PAX6;WNT16;POU3F2;USH2A;WNT6;FGF8;LHX1;OTX2;INSM1;PITX2;WNT1;VSX1;NEUROG2;ITM2C;FOXA2
skeletal system development (GO:0001501)	17/158	3.8333712989276166E-6	0.0021130890051932337	0	0	4.106107310227301	51.21040916317884	HHIP;DLX6;NOG;PRELP;BMP6;PAPSS2;BMP5;COL1A1;FGF8;HYAL1;FRZB;ITGB8;WNT1;FGFR3;FGFR2;NKX3-2;HES5
positive regulation of cell migration (GO:0030335)	23/269	4.437708796345608E-6	0.0021130890051932337	0	0	3.2007331591173056	39.450227984144405	CARMIL2;CAV1;SEMA3B;SEMA4C;FAM107A;SEMA4G;F3;ELP6;COL1A1;VTN;DAB2;CLDN3;CXCL12;RAB25;HYAL1;PDGFC;KIT;SNAI1;ENPP2;CTSH;CDH13;PTK2B;ITGA6
regulation of cell population proliferation (GO:0042127)	45/764	6.603554804278098E-6	0.00217851316199909	0	0	2.175186519898041	25.94541261385098	PTPRU;BTG2;ELN;CHRNA7;IFI35;GLI1;RERG;PPP1R9B;FGF8;SCIN;RAB25;FRZB;PDGFC;CTSH;PTK2B;HES1;WNT1;HES5;STAT5A;OSR2;TFAP2C;EDN3;HTR1A;VEGFC;EMP2;P3H3;KLF4;CBFA2T3;POU3F2;SLURP1;BMP6;BMP5;SSTR5;AR;CLDN3;SFRP2;BAMBI;ALDH1A2;KIT;CDH13;AQP11;SGK3;INSM1;FGFR3;FGFR2
negative regulation of canonical Wnt signaling pathway (GO:0090090)	17/165	6.90145764549089E-6	0.00217851316199909	0	0	3.910478941839366	46.4712632888489	APC2;TLE3;DRAXIN;PTPRU;IGFBP4;CAV1;IGFBP2;NOG;KREMEN1;GLI1;LIMD1;TLE5;DAB2;SFRP2;FRZB;DVL1;NPHP4
positive regulation of cell motility (GO:2000147)	20/221	7.989191966390959E-6	0.00217851316199909	0	0	3.396163056829529	39.862195358218095	CARMIL2;CAV1;SEMA3B;SEMA4C;FAM107A;TWIST1;SEMA4G;F3;ELP6;COL1A1;DAB2;CLDN3;CXCL12;PDGFC;KIT;SNAI1;CTSH;CDH13;PTK2B;ITGA6
regulation of angiogenesis (GO:0045765)	19/203	8.274106519735294E-6	0.00217851316199909	0	0	3.5213055041628123	41.20765375354105	NAXE;CHRNA7;TWIST1;VEGFC;GATA4;EMP2;GATA2;TSPAN12;THBS2;KLF4;F3;SFRP2;BMPER;HYAL1;NINJ1;CTSH;ITGB8;ANGPTL4;GLUL
