Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
collagen-containing extracellular matrix (GO:0062023)	38/380	3.9306582595105795E-11	1.0180404892132402E-8	0	0	3.888888888888889	93.17633544730216	FBN2;TINAGL1;ELN;SEMA3B;HTRA1;LTBP2;CLEC14A;PRELP;THBS2;LTBP1;VTN;PSAP;ANXA7;CTSH;EMILIN2;CTSC;CTSB;SCARA3;ANXA1;ANXA2;FIBCD1;MST1;APOA1;NPNT;F3;USH2A;COL1A1;COL3A1;SFRP2;CXCL12;COL6A1;COL8A2;S100A6;CDH13;COL6A3;VWA2;ANGPTL4;FGFR2
lytic vacuole (GO:0000323)	20/219	6.972306683753048E-6	9.029137155460197E-4	0	0	3.4306523737693797	40.73407204270829	TINAGL1;KLHL22;CTSV;MFSD12;SYT7;LAMP1;HYAL1;NPC2;CTSK;SMPD1;PSAP;CTSH;RAB38;TPP1;RFFL;RILP;ADA;CTSC;ITM2C;CTSB
lysosome (GO:0005764)	31/477	2.9874252964808947E-5	0.0025713636234471577	0	0	2.3887900500422434	24.887641512561796	CD63;TINAGL1;ABHD6;PRELP;CTSV;VLDLR;LAMP1;GM2A;HYAL1;SMPD1;CTSK;PSAP;CTSH;RFFL;RILP;CTSC;CTSB;ANXA2;SLC30A2;KLHL22;KERA;MFSD12;SYT7;GPR137C;DAB2;NPC2;COL6A1;RAB38;TPP1;ADA;ITM2C
lysosomal lumen (GO:0043202)	11/86	3.971217951269742E-5	0.0025713636234471577	0	0	4.959487179487179	50.25871219029581	GM2A;HYAL1;NPC2;CTSK;SMPD1;PSAP;KERA;PRELP;TPP1;CTSV;CTSB
intermediate filament (GO:0005882)	8/50	9.061609935270586E-5	0.004693913946470164	0	0	6.418219461697722	59.746426205633036	KRT18;KRT14;PKP2;KRT13;KRT7;EPPK1;VIM;PPL
intermediate filament cytoskeleton (GO:0045111)	10/84	1.6308811693094023E-4	0.007039970380852253	0	0	4.561813122022546	39.78457541890335	BCAS3;CARMIL2;KRT18;KRT14;PKP2;KRT13;KRT7;EPPK1;VIM;PPL
neuron projection (GO:0043005)	32/556	2.1723880092638725E-4	0.007654371187207252	0	0	2.0939582438591873	17.661518750432275	TPH1;CHRNA7;FAM107A;GRIK3;SLC1A3;THY1;HTR4;COMT;CRHR1;PPP1R9B;CALB2;SCGN;BRINP2;ATCAY;RELN;BRINP1;DVL1;MAP6;PTK2B;SLC12A5;HTR1A;SLC6A13;VSTM2L;ANK3;SSTR5;MYO1D;CPEB1;MLPH;PEX6;CDH13;CNTN4;EPHA3
catenin complex (GO:0016342)	6/31	2.3642845365891128E-4	0.007654371187207252	0	0	8.065996533795493	67.34998148082789	APC2;CDH4;CDH1;CDH23;CDH13;CDH8
endoplasmic reticulum lumen (GO:0005788)	20/285	2.824409518162932E-4	0.008128022946713328	0	0	2.567378263346627	20.980720557264313	TOR4A;COLGALT2;IGFBP4;APOA1;CHRDL1;LTBP1;COL1A1;WNT6;TF;COL3A1;SELENOM;PDGFC;COL6A1;COL8A2;ARSI;RDH5;COL6A3;WNT1;B2M;CTSC
keratin filament (GO:0045095)	4/15	7.549309351322182E-4	0.019279058988973013	0	0	12.187784581566966	87.61657310279239	KRT18;KRT14;KRT13;EPPK1
