Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cell-cell adhesion mediator activity (GO:0098632)	7/42	1.9174333407942013E-4	0.04332852310622222	0	0	6.729861111111111	57.60325609632797	ANXA1;KRT18;ANXA2;VSTM2L;CNTN4;PKP3;LRRC4C
receptor ligand activity (GO:0048018)	21/307	2.839675666427988E-4	0.04332852310622222	0	0	2.4995084986188187	20.412612400702184	EDN3;METRN;SEMA3B;SEMA4C;VEGFC;APOA1;SEMA4G;WNT16;INHBC;SLURP1;BMP6;BMP5;POMC;WNT6;SFRP2;FGF8;TAFA3;C1QTNF12;TAFA1;NRTN;WNT1
sialyltransferase activity (GO:0008373)	5/21	2.856963839017377E-4	0.04332852310622222	0	0	10.489294982698961	85.5987403509534	ST6GALNAC1;ST6GALNAC2;ST8SIA2;ST3GAL4;ST6GALNAC6
alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity (GO:0001665)	3/6	4.614740576082312E-4	0.04332852310622222	0	0	33.47241379310345	257.10444608760145	ST6GALNAC1;ST6GALNAC2;ST6GALNAC6
keratin filament binding (GO:1990254)	3/6	4.614740576082312E-4	0.04332852310622222	0	0	33.47241379310345	257.10444608760145	KRT14;EPPK1;VIM
sequence-specific double-stranded DNA binding (GO:1990837)	37/712	5.26257365662618E-4	0.04332852310622222	0	0	1.8815737349070683	14.205355190107785	DLX6;GATA4;GATA2;GLI1;CUX2;BASP1;GSC;NKX2-1;ALX1;OTX2;HES1;MSX1;OTX1;PITX2;RXRG;NKX3-2;HES5;SPDEF;VENTX;OSR2;TFAP2C;SKOR2;IRX5;IRX3;SOX14;ARID5B;PAX6;KLF4;POU3F2;AR;ELF3;LHX1;RFX5;SNAI1;VSX1;NEUROG2;FOXA2
double-stranded DNA binding (GO:0003690)	34/651	8.036737168694232E-4	0.056716402304785	0	0	1.8870319691320303	13.44758837092118	DLX6;GATA4;GATA2;CUX2;GSC;ALX1;OTX2;HES1;MSX1;OTX1;PITX2;RXRG;NKX3-2;HES5;SPDEF;VENTX;OSR2;TFAP2C;SKOR2;IRX5;IRX3;SOX14;PAX6;KLF4;POU3F2;ELF3;LHX1;RFX5;SNAI1;ZMYND11;VSX1;NEUROG2;CENPS;FOXA2
cadherin binding involved in cell-cell adhesion (GO:0098641)	4/18	0.001578787939353842	0.07425625517515022	0	0	9.574636072045399	61.766914210759126	ANXA1;KRT18;ANXA2;PKP3
cholesterol transfer activity (GO:0120020)	4/18	0.001578787939353842	0.07425625517515022	0	0	9.574636072045399	61.766914210759126	GRAMD1C;NPC2;APOA1;PLTP
neuropeptide receptor activity (GO:0008188)	5/30	0.0016115282893457267	0.07425625517515022	0	0	6.710034602076124	43.14936265888716	NPY1R;SORCS1;TACR1;GRPR;SSTR5
sequence-specific DNA binding (GO:0043565)	35/707	0.0016967250171672677	0.07425625517515022	0	0	1.7815731447688565	11.364753694178667	EPAS1;DLX6;GATA4;GATA2;NR2E3;CUX2;GSC;ALX1;OTX2;HES1;MSX1;OTX1;PITX2;RXRG;NKX3-2;HES5;SPDEF;VENTX;OSR2;TFAP2C;SKOR2;IRX5;IRX3;SOX14;PAX6;GRHL3;KLF4;POU3F2;ELF3;LHX1;RFX5;SNAI1;VSX1;NEUROG2;FOXA2
potassium channel inhibitor activity (GO:0019870)	3/9	0.0018151568835823382	0.07425625517515022	0	0	16.733620689655172	105.61564219465807	CAV1;WNK4;NEDD4L
sterol transfer activity (GO:0120015)	4/19	0.001954111978293427	0.07425625517515022	0	0	8.935866436384572	55.740321189537724	GRAMD1C;NPC2;APOA1;PLTP
frizzled binding (GO:0005109)	5/34	0.002859551981256344	0.09293606238986692	0	0	5.783319412957881	33.87342412988829	WNT6;BAMBI;DVL1;WNT1;WNT16
histone acetyltransferase binding (GO:0035035)	4/21	0.0028812960300011225	0.09293606238986692	0	0	7.883775271766738	46.11626230516956	BCAS3;CITED2;EPAS1;PAX6
calcium-dependent phospholipid binding (GO:0005544)	6/50	0.0031982045761695093	0.09293606238986692	0	0	4.578462265637309	26.304024351635153	ANXA1;ANXA2;SYT12;DOC2B;CPNE2;SYT7
potassium channel regulator activity (GO:0015459)	6/50	0.0031982045761695093	0.09293606238986692	0	0	4.578462265637309	26.304024351635153	DPP10;WNK4;NEDD4L;KCNAB1;SGK3;KCNAB2
platelet-derived growth factor binding (GO:0048407)	3/11	0.003413507515786808	0.0936818173777046	0	0	12.548922413793104	71.2780665317993	COL1A1;COL3A1;COL6A1
cell adhesion mediator activity (GO:0098631)	4/24	0.004774304543619744	0.12413191813411334	0	0	6.700172711571676	35.80911969670939	NINJ1;VSTM2L;CNTN4;LRRC4C
chemorepellent activity (GO:0045499)	4/25	0.00555466408992782	0.13326926120869265	0	0	6.380787893741261	33.1361801745934	SEMA3B;SEMA4C;APOA1;SEMA4G
insulin-like growth factor I binding (GO:0031994)	3/13	0.0056652924805314685	0.13326926120869265	0	0	10.038103448275862	51.93109182010313	IGFBP4;IGFBP2;ITGA6
1,4-alpha-oligoglucan phosphorylase activity (GO:0004645)	2/5	0.008000702578514972	0.17055014703525292	0	0	22.27653471026965	107.5561422701538	PYGB;PYGL
fibroblast growth factor-activated receptor activity (GO:0005007)	2/5	0.008000702578514972	0.17055014703525292	0	0	22.27653471026965	107.5561422701538	FGFR3;FGFR2
chloride channel regulator activity (GO:0017081)	3/15	0.008631080315549237	0.17055014703525292	0	0	8.364224137931034	39.75001835089844	CHRNA7;WNK4;SGK3
insulin-like growth factor binding (GO:0005520)	3/15	0.008631080315549237	0.17055014703525292	0	0	8.364224137931034	39.75001835089844	IGFBP4;IGFBP2;ITGA6
organic cation transmembrane transporter activity (GO:0015101)	3/16	0.010395909828586672	0.19752228674314676	0	0	7.720424403183024	35.254104663618925	SLC22A16;SLC29A4;SLC25A42
thiol oxidase activity (GO:0016972)	2/6	0.011770331487267291	0.21535347239666822	0	0	16.706540447504302	74.21334614643662	ERO1B;QSOX2
ionotropic glutamate receptor activity (GO:0004970)	3/17	0.012354320652398122	0.2179655143673097	0	0	7.168596059113301	31.497014824936546	GRIN3B;GRIK3;PTK2B
calcium ion binding (GO:0005509)	18/348	0.014032353410255645	0.239033882229872	0	0	1.8426709573612228	7.861552314933952	ANXA1;ANXA2;TNNC2;LPL;CDH8;SYT7;CALB2;SCGN;CDH4;SCIN;SYT12;CDH1;ENPP2;S100A6;CDH23;ANXA7;CDH13;MASP1
cholesterol binding (GO:0015485)	5/50	0.014896174991240173	0.24529034818908815	0	0	3.7239523260284506	15.665367072354051	GRAMD1C;TSPO2;NPC2;CAV1;APOA1
insulin-like growth factor II binding (GO:0031995)	2/7	0.016162442047882458	0.25755633456948174	0	0	13.364543889845095	55.12961385114782	IGFBP4;IGFBP2
DNA-binding transcription factor binding (GO:0140297)	12/208	0.01927581340119287	0.29360411910098877	0	0	2.060938561063655	8.138448858567795	AR;TLE3;PRRX1;GSC;TWIST1;GATA4;HES1;ZFPM2;PITX2;KLF4;RUNX1T1;TLE5
NMDA glutamate receptor activity (GO:0004972)	2/8	0.021137666877340325	0.29360411910098877	0	0	11.136546184738956	42.95030285841971	GRIN3B;PTK2B
calcium ion transmembrane transporter activity (GO:0015085)	5/55	0.02174500981040913	0.29360411910098877	0	0	3.3506920415224912	12.827692180631248	GRIN3B;ANXA2;CHRNA7;ATP2A3;ATP2C2
sodium channel regulator activity (GO:0017080)	4/37	0.022059282354921893	0.29360411910098877	0	0	4.05798921861098	15.477259332562427	PKP2;NEDD4L;SGK3;FGF12
N-acetyltransferase activity (GO:0008080)	3/21	0.022174441645230882	0.29360411910098877	0	0	5.574425287356322	21.23195426385474	AANAT;NAT8L;SAT1
cysteine-type peptidase activity (GO:0008234)	7/98	0.02448282201252912	0.29360411910098877	0	0	2.5809294871794872	9.574689754454646	TINAGL1;CTSK;USP2;CTSH;CTSV;CTSC;CTSB
adenylate cyclase inhibiting G protein-coupled glutamate receptor activity (GO:0001640)	2/9	0.026658397932550388	0.29360411910098877	0	0	9.545119252520285	34.5977266030126	GRM8;GRIK3
G protein-coupled glutamate receptor activity (GO:0098988)	2/9	0.026658397932550388	0.29360411910098877	0	0	9.545119252520285	34.5977266030126	GRM8;GRIK3
P-type calcium transporter activity (GO:0005388)	2/9	0.026658397932550388	0.29360411910098877	0	0	9.545119252520285	34.5977266030126	ATP2A3;ATP2C2
potassium:chloride symporter activity (GO:0015379)	2/9	0.026658397932550388	0.29360411910098877	0	0	9.545119252520285	34.5977266030126	SLC12A3;SLC12A5
cadherin binding (GO:0045296)	16/322	0.027450020018487616	0.29360411910098877	0	0	1.7623773789351131	6.336431152492742	ANXA1;ANXA2;ANK3;CGN;PPL;NDRG1;CDH8;SLC9A3R2;CDH4;KRT18;CDH1;PKP2;CDH23;CDH13;ITGA6;PKP3
semaphorin receptor binding (GO:0030215)	3/23	0.028291483544986173	0.29360411910098877	0	0	5.01646551724138	17.884675042903535	SEMA3B;SEMA4C;SEMA4G
metal ion binding (GO:0046872)	23/517	0.03026152492643536	0.29360411910098877	0	0	1.5732685078079816	5.503101581218002	ANXA1;MVK;ANXA2;EPHX2;TNNC2;LPL;CDH8;SYT7;ERN1;CALB2;SCGN;CDH4;SCIN;SYT12;CDH1;ADPRH;S100A6;ENPP2;CDH23;ANXA7;STK38L;CDH13;MASP1
sterol binding (GO:0032934)	5/60	0.030368214638176214	0.29360411910098877	0	0	3.045297263290343	10.64136125610158	GRAMD1C;TSPO2;NPC2;CAV1;APOA1
transmembrane receptor protein kinase activity (GO:0019199)	5/60	0.030368214638176214	0.29360411910098877	0	0	3.045297263290343	10.64136125610158	KIT;MERTK;FGFR3;EPHA3;FGFR2
transmembrane receptor protein tyrosine kinase activity (GO:0004714)	5/60	0.030368214638176214	0.29360411910098877	0	0	3.045297263290343	10.64136125610158	KIT;MERTK;FGFR3;EPHA3;FGFR2
E-box binding (GO:0070888)	4/41	0.030902279783118384	0.29360411910098877	0	0	3.6185408206133594	12.581396194894516	SNAI1;TWIST1;HES1;NEUROG2
calmodulin-dependent protein kinase activity (GO:0004683)	3/24	0.03165108645158336	0.29360411910098877	0	0	4.777339901477832	16.496072528268854	EEF2K;MKNK2;PTK2B
lipoprotein particle binding (GO:0071813)	3/24	0.03165108645158336	0.29360411910098877	0	0	4.777339901477832	16.496072528268854	LPL;CDH13;PLTP
aldo-keto reductase (NADP) activity (GO:0004033)	2/10	0.032688717713672835	0.29360411910098877	0	0	8.351549053356282	28.56835501289514	KCNAB1;KCNAB2
cation:chloride symporter activity (GO:0015377)	2/10	0.032688717713672835	0.29360411910098877	0	0	8.351549053356282	28.56835501289514	SLC12A3;SLC12A5
co-SMAD binding (GO:0070410)	2/10	0.032688717713672835	0.29360411910098877	0	0	8.351549053356282	28.56835501289514	SMAD1;GATA4
P-type proton-exporting transporter activity (GO:0008553)	2/10	0.032688717713672835	0.29360411910098877	0	0	8.351549053356282	28.56835501289514	ATP2A3;ATP2C2
phospholipase inhibitor activity (GO:0004859)	2/10	0.032688717713672835	0.29360411910098877	0	0	8.351549053356282	28.56835501289514	ANXA1;ANXA2
cysteine-type endopeptidase activity (GO:0004197)	7/105	0.03395712827832765	0.2995503815981046	0	0	2.3957093253968256	8.10386168094012	CTSK;CAPN5;USP2;CTSH;CTSV;CTSC;CTSB
