Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Lysosome	14/128	2.251666766010409E-5	0.005989433597587687	0	0	4.166157925569636	44.58311724070028	CD63;DNASE2B;CTSV;LAMP1;GM2A;HYAL1;NPC2;CTSK;SMPD1;PSAP;CTSH;TPP1;CTSC;CTSB
Signaling pathways regulating pluripotency of stem cells	14/143	7.722637022881909E-5	0.010271107240432939	0	0	3.678859961035953	34.83427727336648	APC2;SMAD1;FZD9;PAX6;WNT16;KLF4;INHBC;WNT6;NRAS;DVL1;OTX1;WNT1;FGFR3;FGFR2
ECM-receptor interaction	10/88	2.403060887156948E-4	0.021307139866124942	0	0	4.326979012842887	36.05929965611947	COL1A1;VTN;RELN;COL6A1;ITGB8;COL6A3;ITGA6;NPNT;THBS2;FREM1
Basal cell carcinoma	8/63	4.6927457467953415E-4	0.031206759216189022	0	0	4.897897233201581	37.53906403444788	APC2;WNT6;HHIP;DVL1;FZD9;GLI1;WNT16;WNT1
Cholesterol metabolism	6/50	0.0031982045761695093	0.12558833129941355	0	0	4.578462265637309	26.304024351635153	NPC2;APOA1;LCAT;LPL;ANGPTL4;PLTP
Pathways in cancer	27/531	0.003856477342372455	0.12558833129941355	0	0	1.822295734840699	10.128321731182012	EPAS1;HHIP;MGST3;GLI1;WNT6;NRAS;FGF8;CDH1;DVL1;HES1;WNT1;RXRG;HES5;RUNX1T1;APC2;STAT5A;FZD9;VEGFC;WNT16;AR;CXCL12;KIT;FAS;ITGA6;FGFR3;FGFR2;BCL2L1
Breast cancer	11/147	0.003917743332218696	0.12558833129941355	0	0	2.726385746606335	15.110282699387247	APC2;WNT6;NRAS;FGF8;DVL1;KIT;FZD9;HES1;WNT1;WNT16;HES5
Human papillomavirus infection	19/331	0.004072035487023058	0.12558833129941355	0	0	2.0628466539370796	11.353108186440181	APC2;FZD9;WNT16;THBS2;COL1A1;VTN;WNT6;NRAS;RELN;DVL1;COL6A1;FAS;ITGB8;COL6A3;ITGA6;HES1;WNT1;HES5;HES4
Gastric cancer	11/149	0.004339482636260234	0.12558833129941355	0	0	2.6865942028985508	14.615072856576825	APC2;WNT6;NRAS;FGF8;CDH1;DVL1;FZD9;WNT1;WNT16;RXRG;FGFR2
Calcium signaling pathway	15/240	0.004721365838323817	0.12558833129941355	0	0	2.252582159624413	12.064057746268459	CHRNA7;MST1;TNNC2;ATP2A3;VEGFC;TACR1;GRPR;HTR4;FGF8;PDGFC;CD38;PTK2B;FGFR3;PLCD1;FGFR2
