Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
intracellular non-membrane-bounded organelle (GO:0043232)	100/1158	1.3495040601015452E-10	3.9540468960975276E-8	0	0	2.1512668743757404	48.88993573211778	NARF;TTF1;GLE1;MYC;ARHGDIB;PHLDA1;MED1;DDX18;SCAF11;ARID5A;ACSL4;LARP4B;WDR82;NCL;FSCN1;ADAM8;TNIK;SLBP;SET;CDCA2;NOLC1;SPATA5;RHOBTB1;RHOBTB2;RAP1B;PDCD11;CALD1;DHX37;UTP20;LYAR;ZC3H14;MDN1;GCN1;MSN;NUP153;PA2G4;POLA1;TBL3;DIAPH2;LIN28B;RGCC;EIF6;ATM;ATR;SETD2;DDX47;NVL;CDCA7L;WDR3;CHD7;CLTC;SETD7;NAT10;BRCA1;AATF;PHF6;WDR43;SH3PXD2A;SH3PXD2B;PARP1;DIS3;NSUN2;RBM19;EN2;URB2;URB1;GNL2;ETV4;REXO4;GNL3;CTTN;POLR1A;RRN3;DDX24;MAK16;HEATR1;NEDD9;DDX21;NOC4L;ASAP1;ADD3;TCOF1;BMS1;NRIP1;BEND3;DCAF13;MPZL2;SUZ12;ZFC3H1;NOC3L;LRWD1;RRP1B;CDC42BPB;LRPPRC;BOP1;RSL1D1;TEC;MYBBP1A;SPRY2;P4HB
nucleus (GO:0005634)	279/4484	2.9009873408100013E-10	4.249946454286652E-8	0	0	1.6103281729908943	35.36409460090472	TCERG1;MAML2;CCAR1;ELK3;CRHBP;MYC;HOXA3;ADNP2;SOX8;SOX9;MED1;MBNL1;AQR;NKX2-6;SOX13;DDX10;EBF3;ISL1;PISD;WDR77;TCERG1L;PSME4;HOXB2;NSMF;LAP3;HOXB1;CGGBP1;RABL6;ATF4;SLBP;SET;CTBP2;FOXG1;AGAP1;LDHA;NUAK2;RNF216;PDCD11;PRDM16;HESX1;ALX4;NKX2-5;PPARGC1A;LYAR;S100A11;TRMT1L;NAA50;XBP1;PLK2;SETDB2;SMARCA5;NR1D2;PA2G4;SRPK1;SETX;MLLT10;POLA1;EIF6;ATM;CDK12;RCOR1;ATR;BARHL1;CSRNP1;DET1;SMG1;SETD2;C2CD2;FAF1;NAT10;BRCA1;AATF;BMI1;SMG7;PHF6;SYNCRIP;MECOM;HEY2;ENC1;XPO5;DHX15;DUSP4;DUSP5;SYK;PARP1;DUSP1;TEX10;NSUN2;NCOA3;EN2;EN1;GNL2;CBFA2T2;PPRC1;PAX2;WDR33;GNL3;HNRNPH1;ITPKA;PLCB1;UMPS;MOCS1;ZNF518A;NEDD9;TRAK1;HIRA;GBX2;HSF2;USP1;PMS2;GPC4;SRSF10;SRSF11;EGLN1;SUZ12;RANBP1;EGLN3;SF3A1;ATAD5;BRF1;PCGF5;XPO7;RRP1B;SORBS1;VAX1;LRPPRC;PER2;PER3;MYBBP1A;TJP2;NARF;RIF1;IRS1;CSE1L;UBP1;PRDM1;TTF1;NR3C1;FGF1;ETS1;FGF2;EIF4ENIF1;RGS2;YY2;CCND1;KPNA3;PHLDA1;KPNA1;USP7;ARID5A;PRPF4B;ADAM19;CLIP2;CCNE1;NCL;TNIK;LMX1B;KPNB1;DDX6;STK4;RLF;ZFP36L1;SBNO1;SLC9A3R1;RAI1;UBR5;ORC2;PGK2;CLSPN;ZNF423;MSC;ZC3H14;MDN1;TFAP2D;HMGA1;MSN;HMGA2;NUP153;EIF2S2;DLG1;RGCC;CNOT7;MAFB;LHX2;RCAN2;TLX1;BHLHE40;MAFF;BCL2;NABP1;MAFK;LHX9;EIF4G1;RBM27;RNF10;USP37;RBM26;DDX46;DDX47;NVL;CDCA7L;CELF2;CHD7;WDR4;FHL2;FHL3;DUSP16;SIX6;SART3;SIX4;EXO1;ZIC3;ZIC1;SIX3;ZNF644;ZNF521;ACTR2;EIF5B;MYOCD;RFC3;NCBP1;EED;USP44;ETV1;ETV3;ETV4;ETV5;REXO4;PPM1A;ELF2;TFDP1;TFDP2;ETF1;SNRPA1;MCM6;USP15;RRN3;NUFIP2;UHRF1;USP10;RNF8;FOXK2;SAMHD1;UACA;MTA1;CAND1;CBS;POLR2B;FAM120A;ERBB2;NRIP1;IGF2BP1;IGF2BP3;ASCC3;SMNDC1;MAPK4;TBX1;USP24;SSB;RNGTT;EYA2;IRX6;CNBP;ZFC3H1;PTPN11;LRWD1;PTPN12;ARID3B;U2SURP;TICRR;MAPK11;KLF7;DES;TEF;RPS6KB1;SPRY2;CEBPZ;NAA15;PFKP
nuclear lumen (GO:0031981)	71/745	1.350458809114414E-9	1.1916711822823726E-7	0	0	2.362232594742504	48.24345449075286	NARF;DDX47;NVL;CDCA7L;WDR3;SETD7;CHD7;NAT10;AATF;TTF1;PHF6;WDR43;GLE1;MYC;PHLDA1;DDX18;MED1;PARP1;DIS3;SCAF11;NSUN2;RBM19;EN2;ARID5A;URB2;LARP4B;URB1;GNL2;ETV4;REXO4;GNL3;WDR82;NCL;SLBP;RRN3;DDX24;MAK16;HEATR1;NOLC1;DDX21;NOC4L;TCOF1;PDCD11;BMS1;NRIP1;BEND3;DHX37;UTP20;LYAR;ZC3H14;MDN1;DCAF13;SUZ12;ZFC3H1;HMGA2;NUP153;PA2G4;NOC3L;RRP1B;LRWD1;SETX;POLA1;BOP1;RSL1D1;TBL3;DIAPH2;LIN28B;RGCC;EIF6;MYBBP1A;ATM
nucleolus (GO:0005730)	70/733	1.626854856358188E-9	1.1916711822823726E-7	0	0	2.366136472347608	47.882598086046684	NARF;DDX47;NVL;CDCA7L;WDR3;SETD7;CHD7;NAT10;AATF;TTF1;PHF6;WDR43;GLE1;MYC;PHLDA1;DDX18;MED1;PARP1;DIS3;SCAF11;NSUN2;RBM19;EN2;ARID5A;URB2;LARP4B;URB1;GNL2;ETV4;REXO4;GNL3;WDR82;POLR1A;NCL;SLBP;RRN3;DDX24;MAK16;HEATR1;NOLC1;DDX21;NOC4L;TCOF1;PDCD11;BMS1;NRIP1;BEND3;DHX37;UTP20;LYAR;ZC3H14;MDN1;DCAF13;SUZ12;ZFC3H1;NUP153;PA2G4;NOC3L;RRP1B;LRWD1;POLA1;BOP1;RSL1D1;TBL3;DIAPH2;LIN28B;RGCC;EIF6;MYBBP1A;ATM
intracellular membrane-bounded organelle (GO:0043231)	305/5192	1.6552689182889276E-8	9.699875861173116E-7	0	0	1.5093145913982535	27.041962790370867	TCERG1;TFRC;MAML2;CCAR1;ELK3;CRHBP;GJA1;MYC;HOXA3;ANKFY1;ADNP2;CYP1B1;SOX8;SOX9;MED1;MBNL1;AQR;NKX2-6;FNBP1;SOX13;DDX10;EBF3;ISL1;PISD;WDR77;TCERG1L;PSME4;HOXB2;NSMF;LAP3;HOXB1;CGGBP1;RABL6;ATF4;SLBP;SET;CTBP2;FOXG1;EIF5A2;AGAP1;LDHA;NUAK2;RNF216;PDCD11;PRDM16;HESX1;ALX4;RAB11FIP2;NKX2-5;PPARGC1A;LYAR;S100A11;TRMT1L;NAA50;XBP1;FZD7;PLK2;SETDB2;SMARCA5;NR1D2;SLC16A10;PA2G4;SRPK1;SETX;MLLT10;POLA1;EIF6;ATM;CDK12;RCOR1;ATR;BARHL1;CSRNP1;DET1;SMG1;SETD2;C2CD2;FAF1;NAT10;BRCA1;OSBPL11;AATF;BMI1;SMG7;PHF6;SYNCRIP;MECOM;HEY2;ENC1;XPO5;DHX15;TMED5;DUSP4;DUSP5;SYK;PARP1;DUSP1;TEX10;NSUN2;NCOA3;EN2;EN1;GNL2;CBFA2T2;PPRC1;PAX2;WDR33;GNL3;CTTN;HNRNPH1;ITPKA;PLCB1;UMPS;MOCS1;PHLPP1;ZNF518A;FAAP24;NEDD9;TRAK1;HIRA;GBX2;PLAGL1;HSF2;USP1;CTNNA1;PMS2;GPC4;SRSF10;SRSF11;EGLN1;SUZ12;RANBP1;EGLN3;SF3A1;ATAD5;BRF1;PCGF5;XPO7;RRP1B;SORBS1;VAX1;LRPPRC;PER2;PER3;MYBBP1A;TJP2;RIF1;IRS1;CSE1L;UBP1;PRDM1;TTF1;NR3C1;FGF1;ETS1;FGF2;EIF4ENIF1;RGS2;YY2;CCND1;KPNA3;PHLDA1;KPNA1;USP7;SPINK5;ARID5A;PRPF4B;ADAM19;CLIP2;SLC9A6;CCNE1;NCL;TNIK;LMX1B;KPNB1;DDX6;TMED10;ITPR1;STK4;RLF;RHOBTB1;RHOBTB2;ZFP36L1;SBNO1;SLC9A3R1;RAI1;UBR5;ORC2;PGK2;CLSPN;ZNF423;MSC;ZC3H14;MDN1;TFAP2D;HMGA1;MSN;HMGA2;EIF2S2;DIAPH2;DLG1;RGCC;CNOT7;DAB1;MAFB;P4HA1;LHX2;RCAN2;TLX1;BHLHE40;MAFF;BCL2;NABP1;MAFK;LHX9;EIF4G1;RBM27;RNF10;USP37;RBM26;DDX46;DDX47;NVL;CDCA7L;CELF2;CHD7;WDR4;FHL2;FHL3;DUSP16;SIX6;SART3;SIX4;EXO1;ZIC3;ZIC1;SIX3;ZNF644;ZNF521;ACTR2;EIF5B;MYOCD;RFC3;NCBP1;EED;USP44;ETV1;ETV3;ETV4;ETV5;REXO4;PPM1A;ELF2;TFDP1;TFDP2;ETF1;SNRPA1;MCM6;USP15;RRN3;NUFIP2;UHRF1;USP10;MAK16;RNF8;FOXK2;PRCP;SAMHD1;UACA;MTA1;CAND1;CBS;POLR2B;FAM120A;ERBB2;NRIP1;IGF2BP1;IGF2BP3;ASCC3;SMNDC1;MAPK4;TBX1;USP24;SSB;RNGTT;EYA2;IRX6;CNBP;ZFC3H1;PTPN11;LRWD1;ATP2B1;PTPN12;ARID3B;U2SURP;TICRR;MAPK11;KLF7;DES;TEF;RPS6KB1;SPRY2;CEBPZ;NAA15;PFKP
90S preribosome (GO:0030686)	6/13	1.0206166961281159E-5	4.984011532758966E-4	0	0	18.45707843453052	212.11831382042035	RSL1D1;TBL3;BMS1;HEATR1;NOC4L;UTP20
chromosome (GO:0005694)	19/160	9.850458065201602E-5	0.004123120304434384	0	0	2.9241443108233116	26.97642287599534	DDX18;SETD2;CDCA2;RIF1;SETD7;SMARCA5;HMGA2;DDX21;BRCA1;RRP1B;ETV4;GNL3;SETX;BOP1;RSL1D1;POLR1A;NCL;BMS1;ATR
basolateral plasma membrane (GO:0016323)	18/151	1.4168486515800093E-4	0.005189208186411784	0	0	2.93475402792696	26.007512057167435	ABCC4;SLC38A1;TFRC;SLC2A1;SLC16A10;ATP2B1;ABCB11;CLDN1;SLC7A1;SLC4A7;DLG1;SLC6A9;ERBB2;ALPK2;EZR;PLPP3;SLC29A1;SLC16A3
podosome (GO:0002102)	5/13	1.6729890882775591E-4	0.005446508920725832	0	0	13.442426801801801	116.89169347645266	SH3PXD2A;SH3PXD2B;FSCN1;ASAP1;ADAM8
cytoplasmic stress granule (GO:0010494)	10/65	5.759650826755937E-4	0.016875776922394895	0	0	3.9229898074745186	29.263399356072497	RPTOR;DDX6;MBNL1;LARP1;NUFIP2;CAPRIN1;IGF2BP1;LARP4B;LARP4;KPNB1
